date,dst_daily_mean,dst_daily_min,dst_daily_max,dst_daily_std,dst_hours_valid
1986-01-01,-21.5417,-33.0000,-14.0000,5.1159,24.0000
1986-01-02,-23.3750,-31.0000,-13.0000,5.5546,24.0000
1986-01-03,-19.9167,-28.0000,-9.0000,4.9862,24.0000
1986-01-04,-14.3750,-24.0000,-7.0000,4.8795,24.0000
1986-01-05,-5.7917,-14.0000,4.0000,4.7638,24.0000
1986-01-06,-5.5417,-79.0000,20.0000,27.3829,24.0000
1986-01-07,-44.4583,-66.0000,-31.0000,8.8366,24.0000
1986-01-08,-30.9167,-43.0000,-25.0000,3.7984,24.0000
1986-01-09,-20.3750,-38.0000,-10.0000,9.2634,24.0000
1986-01-10,-23.2917,-29.0000,-20.0000,2.2742,24.0000
1986-01-11,-10.5000,-19.0000,-2.0000,6.0649,24.0000
1986-01-12,-5.7083,-12.0000,7.0000,4.3587,24.0000
1986-01-13,1.7917,-3.0000,8.0000,3.3877,24.0000
1986-01-14,1.0000,-3.0000,5.0000,1.9781,24.0000
1986-01-15,1.9583,-9.0000,19.0000,7.2979,24.0000
1986-01-16,-4.3750,-8.0000,0.0000,3.0760,24.0000
1986-01-17,7.4167,-15.0000,20.0000,10.9104,24.0000
1986-01-18,-8.3750,-15.0000,1.0000,5.3146,24.0000
1986-01-19,-8.2917,-18.0000,-2.0000,4.2883,24.0000
1986-01-20,-16.0833,-32.0000,5.0000,12.4967,24.0000
1986-01-21,-33.7917,-76.0000,-9.0000,23.7303,24.0000
1986-01-22,-33.5417,-44.0000,-14.0000,8.5464,24.0000
1986-01-23,-20.2083,-34.0000,-5.0000,8.3665,24.0000
1986-01-24,-19.2083,-27.0000,-11.0000,5.1159,24.0000
1986-01-25,-10.3333,-39.0000,16.0000,17.1456,24.0000
1986-01-26,-20.8333,-30.0000,-7.0000,5.4026,24.0000
1986-01-27,-20.8750,-37.0000,0.0000,11.0820,24.0000
1986-01-28,-23.2083,-34.0000,-12.0000,5.9708,24.0000
1986-01-29,-18.5000,-27.0000,-3.0000,6.1644,24.0000
1986-01-30,-16.5833,-25.0000,-5.0000,5.6099,24.0000
1986-01-31,-13.6250,-21.0000,-6.0000,3.2278,24.0000
1986-02-01,-6.5833,-13.0000,2.0000,3.9112,24.0000
1986-02-02,2.8333,-10.0000,11.0000,5.6850,24.0000
1986-02-03,3.9583,-3.0000,19.0000,5.7444,24.0000
