date,ssn,ssn_std,ssn_sesc,sunspot_area,new_regions,solar_mean_field,xray_bkgd,kp_daily_mean,kp_daily_max,dst_daily_mean,dst_daily_min,dst_daily_max,dst_daily_std,dst_hours_valid,f107,flare_C,flare_M,flare_X,flare_S,flare_xray_total,flare_optical_total,year,month,day_of_year,storm_category,solar_activity_level,kp_storm_level
1986-01-01,0.0000,2.0000,,,0.0000,,,3.7916,5.0000,-21.5417,-33.0000,-14.0000,5.1159,24.0000,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1986,1,1,quiet,,G1_minor
1986-01-02,0.0000,2.0000,,,0.0000,,,3.2501,4.0000,-23.3750,-31.0000,-13.0000,5.5546,24.0000,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1986,1,2,quiet,,quiet
1986-01-03,0.0000,2.0000,,,0.0000,,,2.1250,3.3330,-19.9167,-28.0000,-9.0000,4.9862,24.0000,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1986,1,3,quiet,,quiet
1986-01-04,0.0000,2.0000,,,0.0000,,,1.2499,2.3330,-14.3750,-24.0000,-7.0000,4.8795,24.0000,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1986,1,4,quiet,,quiet
1986-01-05,0.0000,2.0000,,,0.0000,,,1.0834,1.6670,-5.7917,-14.0000,4.0000,4.7638,24.0000,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1986,1,5,quiet,,quiet
1986-01-06,0.0000,2.0000,,,0.0000,,,2.2501,6.3330,-5.5417,-79.0000,20.0000,27.3829,24.0000,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1986,1,6,moderate,,G2_moderate
1986-01-07,0.0000,2.0000,,,0.0000,,,4.0001,5.6670,-44.4583,-66.0000,-31.0000,8.8366,24.0000,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1986,1,7,moderate,,G1_minor
1986-01-08,0.0000,2.0000,,,0.0000,,,2.2915,4.3330,-30.9167,-43.0000,-25.0000,3.7984,24.0000,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1986,1,8,quiet,,quiet
1986-01-09,0.0000,2.0000,,,0.0000,,,2.4999,4.6670,-20.3750,-38.0000,-10.0000,9.2634,24.0000,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1986,1,9,quiet,,quiet
1986-01-10,0.0000,2.0000,,,0.0000,,,2.0416,4.3330,-23.2917,-29.0000,-20.0000,2.2742,24.0000,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1986,1,10,quiet,,quiet
1986-01-11,0.0000,2.0000,,,0.0000,,,0.9584,1.6670,-10.5000,-19.0000,-2.0000,6.0649,24.0000,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1986,1,11,quiet,,quiet
1986-01-12,0.0000,2.0000,,,0.0000,,,1.2500,2.0000,-5.7083,-12.0000,7.0000,4.3587,24.0000,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1986,1,12,quiet,,quiet
