:Product: Daily Geomagnetic Data     1994_DGD.txt
:Issued: 1428 UT 22 Jul 1997
#
#  Prepared by the U.S. Dept. of Commerce, NOAA, Space Environment Center.
#  Please send comment and suggestions to sec@sec.noaa.gov
#
#                        1994 Daily Geomagnetic Data
#
#                 Middle Latitude        High Latitude            Estimated
#               - Fredericksburg -     ---- College ----      --- Planetary ---
#   Date        A     K-indices        A     K-indices        A     K-indices
#------------------------------------------------------------------------------
01 Jan 94      21  3-3-4-4-4-4-3-3    40  3-4-5-6-6-5-3-2    22  3-3-4-5-4-3-2-2
02 Jan 94      19  3-3-4-3-4-4-2-3     *  1-3-4-*-*-*-3-3    21  2-3-4-4-5-3-3-2
03 Jan 94      13  3-2-3-3-3-3-3-2    24  2-2-3-6-5-4-2-2    11  3-1-3-3-3-3-3-1
04 Jan 94       6  1-3-1-2-2-1-1-1     5  1-1-3-2-2-1-1-0     6  1-3-2-2-2-1-1-2
05 Jan 94       5  1-1-1-1-2-1-1-3     3  1-1-1-2-1-1-1-1     5  1-1-1-2-2-2-1-2
06 Jan 94      11  3-3-2-2-2-3-2-3    17  2-2-3-5-4-4-1-2    11  3-3-3-3-3-3-1-2
07 Jan 94       5  1-1-1-2-2-1-2-2     6  1-0-1-2-4-1-1-1     6  1-1-1-3-3-1-2-1
08 Jan 94       5  1-2-2-2-2-1-1-1     6  0-1-2-3-3-2-1-0     8  1-2-3-3-3-2-2-1
09 Jan 94       2  0-1-1-1-1-1-1-1     2  0-0-1-2-2-1-1-0     5  1-1-2-1-2-2-2-1
10 Jan 94       3  1-1-1-1-1-2-1-1     0  0-0-0-1-1-0-0-0     4  2-1-1-1-2-1-1-1
11 Jan 94      16  1-2-3-2-2-5-4-3    37  0-2-3-3-5-7-5-4    15  2-1-3-3-2-5-4-3
12 Jan 94      20  4-3-3-3-4-4-3-3    42  4-4-5-5-5-6-5-3    20  4-4-3-4-4-4-3-3
13 Jan 94      25  4-4-3-3-4-4-3-5    36  3-4-3-5-6-6-3-3    21  4-4-3-3-5-3-3-4
14 Jan 94      18  3-4-3-3-4-3-3-3    38  3-4-4-6-6-5-3-3    19  3-3-4-4-4-3-3-3
15 Jan 94      18  3-4-2-2-3-3-4-4    21  3-3-3-2-5-3-4-4    16  3-4-3-2-3-3-3-3
16 Jan 94      14  2-3-3-3-3-3-3-3    25  3-3-4-4-5-4-4-3    14  2-3-4-3-3-3-3-2
17 Jan 94      23  4-4-4-3-3-3-4-4     *  4-5-5-6-*-*-4-3    20  4-5-4-4-2-3-3-3
18 Jan 94      21  4-3-3-3-5-3-3-3    48  3-2-3-4-7-7-4-3    22  3-3-3-3-5-5-3-3
19 Jan 94      21  4-4-4-3-3-3-4-3    34  3-5-5-5-6-3-3-2    22  3-5-5-3-4-2-3-3
20 Jan 94      13  3-3-4-2-2-3-2-2    21  4-3-4-5-4-3-2-1    12  3-3-3-3-3-2-3-2
21 Jan 94       7  2-2-1-1-2-3-2-2     8  2-2-1-3-2-3-2-2     7  2-3-1-1-1-2-3-2
22 Jan 94       9  4-2-2-1-2-1-2-2    15  4-2-1-5-4-1-2-1     7  3-2-1-2-2-1-2-2
23 Jan 94       7  2-2-1-1-2-1-2-3     5  3-2-1-2-1-1-1-1     5  2-2-1-2-2-1-2-2
24 Jan 94       3  2-1-1-2-1-1-1-2     2  1-1-1-2-0-1-1-0     3  2-1-1-2-0-1-1-1
25 Jan 94       5  2-3-2-1-1-1-1-1     *  1-1-1-2-1-0-*-1     4  1-2-1-1-2-1-1-1
26 Jan 94      17  2-3-4-3-4-3-3-3     *  2-2-4-3-6-6-*-4    17  1-3-5-3-4-4-3-2
27 Jan 94      17  3-3-4-2-4-3-3-3     *  2-2-5-5-3-6-*-*    16  2-3-4-3-3-4-3-3
28 Jan 94      15  3-4-3-4-3-2-1-2     *  3-2-3-6-5-2-*-*    16  4-3-3-5-3-2-2-1
29 Jan 94       7  1-2-3-2-2-2-2-1     *  2-2-3-5-5-3-*-*     8  1-2-3-3-3-2-1-2
30 Jan 94       9  3-1-2-2-2-3-2-2     *  1-1-2-3-3-4-*-*     9  3-1-2-3-3-3-3-1
31 Jan 94       8  3-1-2-2-1-1-2-3     *  1-1-3-3-4-3-*-*     7  2-1-3-2-2-2-2-3
01 Feb 94       6  1-1-2-3-2-1-1-1     *  1-1-1-4-3-1-*-*     6  2-1-2-3-2-1-1-1
02 Feb 94      14  1-3-3-4-4-3-2-6     *  1-0-3-6-6-*-*-*    16  1-2-3-4-5-3-2-3
03 Feb 94      10  1-2-2-3-3-3-2-2     *  1-0-3-4-6-4-*-*    10  1-2-3-3-3-3-2-1
04 Feb 94      10  2-2-2-1-2-3-3-3     *  1-1-1-3-5-4-*-1     8  1-2-2-2-3-2-3-2
05 Feb 94      21  3-2-3-5-3-2-3-5     *  2-2-4-7-6-6-*-*    24  3-2-3-5-4-4-3-4
06 Feb 94      39  4-4-3-5-5-5-5-5     *  *-*-*-7-6-8-7-5    57  4-4-3-6-6-7-5-5
07 Feb 94      45  5-5-3-5-6-5-5-4     *  4-5-5-7-7-7-*-4    54  4-6-4-7-6-5-5-3
08 Feb 94      42  6-4-4-4-5-5-4-5    79  4-5-7-7-7-6-5-3    56  6-5-6-6-6-4-5-5
09 Feb 94      32  4-3-3-4-4-5-5-5    58  3-4-5-7-5-6-6-4    34  4-4-4-5-4-4-5-5
10 Feb 94      28  4-4-4-4-4-4-3-5    50  4-5-6-5-5-6-5-4    31  4-5-5-5-4-3-3-4
11 Feb 94      38  5-5-4-5-4-4-4-5    73  5-5-4-7-7-6-6-4    41  4-5-5-6-5-5-4-4
12 Feb 94      27  4-5-3-3-4-4-4-4     *  4-4-*-5-7-5-5-5    36  4-5-4-4-6-4-4-4
13 Feb 94      30  4-3-3-3-4-5-5-5    55  3-4-4-6-5-7-6-4    28  4-3-3-5-4-5-5-4
14 Feb 94      28  4-4-4-3-4-5-4-4    44  4-4-6-5-5-6-4-3    28  4-4-4-3-3-5-4-4
15 Feb 94      26  4-4-3-2-5-4-4-4    40  3-3-4-5-7-4-4-4    18  4-3-3-3-5-3-3-3
16 Feb 94      16  4-3-2-3-3-3-3-3    31  3-5-3-4-6-4-4-3    15  3-4-3-3-3-3-3-2
17 Feb 94      11  3-2-3-3-3-2-2-2    14  2-2-3-4-4-3-2-2     8  2-2-3-3-2-2-2-2
18 Feb 94       7  2-1-2-3-1-1-1-3     8  1-1-2-4-3-1-1-2     7  2-2-2-3-2-2-1-3
19 Feb 94      23  4-3-4-3-4-2-5-3    30  3-3-5-6-4-4-4-2    17  3-3-4-4-3-3-4-3
20 Feb 94      13  4-4-2-2-1-2-3-2    22  4-3-4-5-4-3-3-2    13  4-3-3-3-3-2-2-2
21 Feb 94      65  2-2-3-7-7-6-5-6    61  0-2-4-6-7-7-5-5    60  2-2-3-7-7-7-5-6
22 Feb 94      51  7-7-5-4-3-3-2-3     *  *-*-*-6-7-5-2-2    46  7-6-4-5-4-3-3-3
23 Feb 94      11  2-4-3-2-2-1-3-2    26  4-3-3-6-4-3-4-1    11  2-3-3-3-2-2-3-2
24 Feb 94       3  1-0-1-1-2-1-1-1     6  2-1-1-2-2-2-2-2     5  1-1-1-2-2-1-2-1
25 Feb 94      12  2-2-4-3-3-2-2-2    25  6-4-5-6-4-3-2-1    14  1-2-5-4-2-2-3-2
26 Feb 94       6  3-1-1-1-2-2-1-1     7  2-1-1-2-4-2-1-1     5  2-1-2-2-2-1-1-1
27 Feb 94       6  1-2-1-3-2-2-1-1    17  2-1-3-6-4-2-1-0     7  1-2-3-3-2-1-2-0
28 Feb 94       9  0-1-3-3-2-1-2-4     8  0-0-3-3-3-2-2-2     8  1-1-3-3-2-1-2-3
01 Mar 94      10  3-1-3-2-2-2-2-3     *  3-2-3-5-4-*-1-2    10  3-1-4-3-2-2-2-3
02 Mar 94      17  4-2-1-2-3-3-3-5    25  4-1-3-5-4-5-2-4    12  3-1-2-3-3-2-3-4
03 Mar 94      18  3-3-3-5-3-1-3-3    43  3-5-6-7-5-2-1-1    27  3-4-5-6-4-1-2-2
04 Mar 94       3  1-1-1-1-1-1-1-1     4  1-1-1-2-1-1-3-0     4  1-1-1-2-1-1-1-1
05 Mar 94       6  2-1-1-2-1-1-2-3     5  2-2-1-2-2-1-1-2     5  1-1-1-2-1-1-2-3
06 Mar 94      10  3-3-3-2-1-1-2-3    13  3-3-4-3-2-1-2-3     9  2-2-3-3-1-2-2-3
07 Mar 94      37  5-3-3-5-4-5-3-6   118  3-5-5-6-6-7-7-9    53  5-3-5-6-5-5-6-5
08 Mar 94      38  5-5-5-4-4-4-4-5     *  4-5-7-6-*-*-*-*    57  5-6-6-5-4-5-4-4
09 Mar 94      33  4-5-5-3-4-4-4-5     *  *-*-*-*-*-*-*-*    52  4-6-7-5-5-5-5-5
10 Mar 94      35  5-4-5-4-4-4-4-5     *  *-*-*-*-*-*-*-*    35  4-4-6-5-4-4-4-5
11 Mar 94      29  4-5-3-4-4-3-4-5     *  *-*-*-*-*-*-*-*    37  5-5-5-5-4-4-3-4
12 Mar 94      27  4-4-5-3-4-3-4-4     *  *-*-*-*-*-*-*-*    36  4-4-6-5-5-3-4-4
13 Mar 94      21  4-4-3-3-3-2-3-5     *  *-*-*-*-*-*-*-*    22  5-5-3-4-3-3-3-4
14 Mar 94      24  4-4-3-3-4-4-4-4     *  *-*-*-*-*-*-*-*    30  4-5-5-4-4-4-4-4
15 Mar 94      31  5-5-4-3-4-4-4-4    43  3-5-5-7-7-6-6-3    42  5-6-5-5-5-5-4-4
16 Mar 94      19  4-3-3-2-3-4-3-4    36  3-3-4-5-6-6-3-3    18  4-3-4-3-3-4-3-3
17 Mar 94      25  4-4-5-4-3-3-4-3    54  3-4-6-7-6-5-4-3    32  4-5-5-5-4-3-4-3
18 Mar 94      18  4-4-4-2-3-2-2-4    21  3-4-4-4-5-3-2-2    23  4-4-4-2-3-2-2-5
19 Mar 94      14  4-3-3-3-2-2-2-3    17  2-3-3-5-3-4-2-2    15  4-4-3-4-3-2-2-3
20 Mar 94      10  3-2-2-1-2-2-3-3    16  2-2-3-5-3-3-3-2    11  3-3-3-3-2-2-3-3
21 Mar 94      22  3-5-3-3-4-4-3-3    43  3-5-5-6-5-6-3-3    27  3-6-4-4-4-4-4-3
22 Mar 94      17  5-3-1-2-4-2-3-3    29  4-3-2-5-6-5-2-1    18  4-3-2-3-5-3-3-3
23 Mar 94      15  4-4-3-2-2-3-3-2    34  3-5-5-6-5-4-2-1    17  3-5-3-3-4-3-2-2
24 Mar 94      18  3-2-2-5-4-3-2-3    21  2-2-2-5-6-3-2-1    16  4-3-2-5-4-2-2-2
25 Mar 94      12  4-1-2-2-3-3-3-2    35  5-2-1-5-6-6-1-3    13  3-2-3-3-3-3-3-3
26 Mar 94       9  2-3-3-3-2-1-1-1     *  1-*-*-*-*-*-*-*     9  2-2-3-3-2-3-2-2
27 Mar 94       9  2-1-2-1-1-1-3-4     *  *-*-*-*-*-*-*-*     8  2-1-3-1-2-2-3-3
28 Mar 94       9  1-2-2-1-3-3-3-2     *  *-*-*-*-*-*-*-*    10  1-3-3-2-3-3-2-2
29 Mar 94       6  2-1-2-2-1-1-2-2     *  *-*-*-*-*-*-*-*     6  2-1-2-2-2-1-2-2
30 Mar 94       9  1-1-1-3-3-2-2-3     *  *-*-*-*-*-*-*-3    12  1-1-1-4-3-3-3-3
31 Mar 94       5  2-2-1-2-2-1-1-1     *  3-2-1-3-2-*-*-1     5  2-2-1-2-2-2-2-1
01 Apr 94       5  1-2-2-1-2-1-2-2     *  2-1-3-3-4-*-*-2     6  1-2-2-2-2-2-2-2
02 Apr 94      44  4-2-4-4-5-4-5-7     *  2-3-3-5-5-*-*-5    34  3-2-4-5-4-5-5-5
03 Apr 94      53  5-5-5-5-5-4-6-6     *  4-5-8-6-7-6-*-6    76  5-7-7-6-5-5-5-7
04 Apr 94      39  6-5-5-4-4-4-4-4     *  6-5-6-5-6-5-*-4    50  6-6-7-5-4-4-3-4
05 Apr 94      24  4-3-3-3-4-4-3-5    64  5-5-7-6-6-6-3-4    31  4-4-5-5-4-4-3-5
06 Apr 94      31  5-4-4-5-3-4-4-4    77  4-5-7-7-7-6-3-4    43  5-5-6-6-5-5-4-4
07 Apr 94      35  5-5-5-5-4-3-3-4     *  4-5-7-5-*-6-3-3    36  5-5-6-5-4-3-3-4
08 Apr 94      29  4-5-5-3-4-3-4-4    39  5-5-7-7-7-4-3-3    40  5-6-5-5-5-3-3-4
09 Apr 94      39  6-5-4-5-4-4-4-4    80  5-4-7-8-6-6-3-3    45  6-5-5-6-5-4-4-4
10 Apr 94      31  5-4-3-4-4-4-4-5    41  5-4-4-5-6-5-4-4    31  5-5-4-5-5-4-3-4
11 Apr 94      29  4-5-4-4-3-3-4-5     *  2-4-6-6-6-*-4-4    39  4-6-6-5-4-3-3-4
12 Apr 94      23  4-4-5-2-3-3-4-3    45  5-5-6-5-5-5-4-3    25  5-5-5-3-3-3-4-4
13 Apr 94      24  3-4-5-3-3-4-4-3    41  3-4-6-5-5-6-3-3    25  3-4-5-4-3-4-4-4
14 Apr 94      22  5-3-3-3-3-3-4-4    36  4-4-4-6-6-4-3-2    26  5-4-3-5-4-3-3-4
15 Apr 94      15  4-3-3-2-2-3-2-4    34  3-4-4-6-6-2-4-3    16  4-3-3-3-3-3-3-4
16 Apr 94      17  2-4-3-2-3-2-4-4    33  3-5-5-4-4-4-5-4    29  3-6-5-2-3-3-5-4
17 Apr 94      60  6-6-7-6-5-2-3-4    60  5-7-7-6-4-3-3-3   130  7-8-9-8-5-3-3-4
18 Apr 94      20  3-4-3-3-4-3-4-3     *  3-4-4-6-5-*-2-3    19  3-4-4-3-4-4-3-3
19 Apr 94      15  5-3-3-3-1-1-2-3    20  3-3-4-5-4-2-3-2    16  5-3-4-4-2-2-3-3
20 Apr 94       8  2-2-3-3-2-2-1-1    13  0-2-4-5-3-1-1-2    10  3-3-3-3-2-2-1-2
21 Apr 94      12  2-3-3-1-2-2-3-4     *  2-2-4-2-2-*-2-2     9  2-2-3-1-2-2-3-3
22 Apr 94       6  2-1-2-1-2-1-2-2     *  2-1-2-3-4-2-1-1     7  2-2-2-2-3-2-2-2
23 Apr 94      10  1-1-1-3-2-1-3-4     *  2-1-1-2-*-4-2-3     9  1-1-2-3-2-2-3-3
24 Apr 94       8  2-2-2-2-2-3-1-2     *  2-2-2-5-*-3-1-1     8  2-2-3-3-2-2-1-2
25 Apr 94       8  2-2-3-1-1-2-2-3     *  2-3-2-2-*-*-*-1     7  2-2-2-1-1-2-2-3
26 Apr 94       6  2-2-2-2-2-1-1-2     *  0-1-2-4-*-*-0-0     6  1-2-3-2-1-2-1-2
27 Apr 94       6  1-2-2-2-2-2-1-1     *  0-2-1-2-*-*-1-1     5  1-1-2-2-2-2-1-1
28 Apr 94       4  2-1-1-1-2-1-1-1     *  2-2-0-2-*-*-1-0     4  1-1-1-1-2-1-1-1
29 Apr 94       6  1-2-3-1-2-1-1-3     *  0-1-3-2-2-2-1-1     6  1-2-3-1-1-0-1-3
30 Apr 94       2  1-2-1-0-1-1-1-1     1  0-1-0-1-1-1-1-0     2  0-1-1-0-1-0-1-1
01 May 94      25  1-2-3-3-4-4-4-6     *  1-2-4-4-*-4-5-5    34  1-2-4-4-5-5-5-6
02 May 94      41  6-6-3-3-3-3-4-6     *  5-5-6-5-*-*-3-4    42  5-6-5-4-4-3-4-6
03 May 94      29  5-5-5-3-4-3-3-3     *  6-5-6-6-*-*-4-4    45  6-7-6-5-4-3-3-3
