:Product: Daily Solar Data         1994_DSD.txt
:Issued: 0225 UT 22 Jul 1997
#
#  Prepared by the U.S. Dept. of Commerce, NOAA, Space Environment Center.
#  Please send comments and suggestions to sec@sec.noaa.gov
#
#                     1994 Daily Solar Data
#

                          Sunspot      Stanford  GOES7
           Radio  SESC      Area          Solar  X-ray
           Flux  Sunspot   10E-6           Mean   Bkgd
   Date   10.7cm  Number   Hemis.         Field   Flux
01 Jan 94  148     130      1750            17    B7.9            
02 Jan 94  146      94      1300            -1    B6.0            
03 Jan 94  133     134      1440             *    B3.6            
04 Jan 94  129     131      1160             *    B2.6            
05 Jan 94  137     154      1280           -40    B4.9            
06 Jan 94  132     144      1220           -41    B4.8            
07 Jan 94  126     135      1050           -35    B3.7            
08 Jan 94  123     119       700             *    B3.1            
09 Jan 94  117      98       640           -46    B2.7            
10 Jan 94  110      74       530           -22    B3.4            
11 Jan 94  101      56       360           -26    B2.7            
12 Jan 94   98      66       340           -17    B1.8            
13 Jan 94   95      61       360           -21    B1.6            
14 Jan 94   90      46       290             *    B1.9            
15 Jan 94   96      45       110           -25    B3.6            
16 Jan 94  100      49       650           -26    B3.8            
17 Jan 94  105      34       710            -6    B4.6            
18 Jan 94  101      43       690           -19    B2.1            
19 Jan 94  103      39       690            16    B2.0            
20 Jan 94  105      54       670             *    B1.8            
21 Jan 94  111      78       710            11    B2.1            
22 Jan 94  113     102       800            54    B2.1            
23 Jan 94  118     105       770            68    B2.5            
24 Jan 94  129     106       850             *    B3.8            
25 Jan 94  132     116      1000             *    B4.4            
26 Jan 94  128      90      1070             *    B3.8            
27 Jan 94  120      63       730            42    B3.5            
28 Jan 94  119      60       500            33    B4.2            
29 Jan 94  102      89       140            19    B4.2            
30 Jan 94   99      81       150            20    B1.5            
31 Jan 94   98      81       150            25    B1.3            
01 Feb 94   94      55       160           -45    B1.0            
02 Feb 94   96      52       120           -62    A9.7            
03 Feb 94   98      62       180             *    A9.5            
04 Feb 94   95      75       230           -61    A8.6            
05 Feb 94   93      76       220             *    A8.0            
06 Feb 94   95      71       230             *    A9.6            
07 Feb 94   96      72       260             *    B1.1            
08 Feb 94   95      85       310           -35    B1.2            
09 Feb 94  101      64       530           -33    B2.0            
10 Feb 94   94      49       490             *    B1.8            
11 Feb 94   93      49       330           -45    B2.3            
12 Feb 94   98      53       250           -39    B2.9            
13 Feb 94   98      72       170           -32    B2.5            
14 Feb 94  101      59       510           -24    B2.3            
15 Feb 94  104      59       490           -14    B2.1            
16 Feb 94  105      71       500           -18    B2.0            
17 Feb 94  106      67       490             *    B2.1            
18 Feb 94  106      77       450             *    B2.0            
19 Feb 94  108      54       340             *    B2.0            
20 Feb 94  108      33       280             *    B1.9            
21 Feb 94  105      17       290            59    A1.1            
22 Feb 94  107      68       370            43    B1.7            
23 Feb 94  107      47       370            35    B1.9            
24 Feb 94  105      58       310            31    B1.8            
25 Feb 94   97      53       330             *    B2.0            
26 Feb 94   94      63        90             *    B1.3            
27 Feb 94   95      69       180             *    B1.4            
28 Feb 94   93      64       290            26    A8.8            
01 Mar 94   94      61       220           -14    A9.4            
02 Mar 94   98      77       200           -27    A9.9            
03 Mar 94  101     122       180            56    B1.5            
04 Mar 94   98      80       210           -55    B3.7            
05 Mar 94   96      86       180           -59    B1.1            
06 Mar 94   96     101       280           -53    B1.2            
07 Mar 94   91      80       200           -45    B1.1            
08 Mar 94   91      68       110           -43    B1.1            
09 Mar 94   90      68       160           -52    B1.0            
10 Mar 94   88      56        70             *    B1.2            
11 Mar 94   88      66        90           -34    A9.1            
12 Mar 94   93      78       190           -28    B1.1            
13 Mar 94   90      60       170           -35    B1.0            
14 Mar 94   87      35       140           -30    A6.9            
15 Mar 94   87      41       140           -26    A5.6            
16 Mar 94   86      31       190            -3    A4.2            
17 Mar 94   85      30       130            36    A4.0            
18 Mar 94   87      24        70            44    A5.0            
19 Mar 94   89      11        60            60    A6.1            
20 Mar 94   89      11        40            50    A4.9            
21 Mar 94   91      26        80            43    A5.4            
22 Mar 94   91      35       100            47    A7.7            
23 Mar 94   92      32        90            32    B1.0            
24 Mar 94   93      46        90             *    B1.1            
25 Mar 94   91      56        50            48    B1.0            
26 Mar 94   89      39        50            40    A7.5            
27 Mar 94   88      41        30             *    A6.7            
28 Mar 94   88      32        50             8    A6.2            
29 Mar 94   86      23        60             *    A5.5            
30 Mar 94   86      48        40           -35    A5.5            
31 Mar 94   85      61       120           -47    A7.2            
01 Apr 94   82      28        60           -52    A5.0            
02 Apr 94   79       8        40           -42    A4.6            
03 Apr 94   77       0         0           -41    A2.4            
04 Apr 94   77       0         0           -39    A1.8            
05 Apr 94   77      11         0           -38    A1.2            
06 Apr 94   73       3         0           -33    A0.8            
07 Apr 94   73       2         0           -38    A0.5            
08 Apr 94   73      11        10             *    A0.4            
09 Apr 94   73      11        20           -25    A0.2            
10 Apr 94   75      14        30           -11    A0.8            
11 Apr 94   74      15        30           -16    A1.4            
12 Apr 94   74      17        30             3    A0.6            
13 Apr 94   74      21        30            36    A1.0            
14 Apr 94   79      28        60            46    A4.1            
15 Apr 94   80      29       190            63    A4.3            
16 Apr 94   82      26       140             *    A3.5            
17 Apr 94   82      38       120            52    A4.8            
18 Apr 94   84      38       120            38    A5.3            
19 Apr 94   85      52       130            34    A5.7            
20 Apr 94   86      41       180            36    A5.5            
21 Apr 94   87      53       170            61    A4.5            
22 Apr 94   85      64       200            43    A6.1            
23 Apr 94   85      54       230             *    A4.9            
24 Apr 94   83      72       290             *    A4.5            
25 Apr 94   83      60       150             *    A4.9            
26 Apr 94   81      50       190           -26    A6.4            
27 Apr 94   78      58        90           -31    A3.4            
28 Apr 94   77      35        60           -38    A4.6            
29 Apr 94   78      16        30           -49    A5.7            
30 Apr 94   75      38        40           -43    A4.4            
01 May 94   75      80        60           -34    A2.9            
02 May 94   76      75        80           -34    A1.8            
03 May 94   74      52        40           -38    A1.0            
04 May 94   73      38        20             *    A0.7            
05 May 94   73      15        10             *    A0.6            
06 May 94   74      45        50             *    A0.7            
07 May 94   74      34        40           -25    A1.1            
08 May 94   75      44        40            -7    A1.0            
09 May 94   77      16        20             7    A3.7            
10 May 94   80      27        50            29    A5.9            
11 May 94   82      38       300            41    A8.6            
12 May 94   87      45       350            54    A9.4            
13 May 94   89      71       400            42    A7.9            
14 May 94   90      67       340            35    A8.3            
15 May 94   91      55       360            31    A7.5            
16 May 94   91      58       400            30    A7.7            
17 May 94   95      59       400            40    A9.4            
18 May 94   94      58       490            53    A8.4            
19 May 94   91      48       440             *    A7.0            
20 May 94   90      35       390            34    A6.0            
21 May 94   88      35       390            26    A4.0            
22 May 94   85      31       340             5    A5.7            
23 May 94   81      26       300            -9    A5.8            
24 May 94   78      22       250           -16    A5.5            
25 May 94   74      12        10           -19    A2.9            
26 May 94   71      11         0           -32    A1.1            
27 May 94   70       0         0           -31    A0.6            
28 May 94   70       0         0           -32    A0.4            
29 May 94   69       0         0           -29    A0.6            
30 May 94   69       0         0           -40    A0.3            
31 May 94   69       0         0           -40    A0.1            
01 Jun 94   68       0         0           -26    A0.1            
02 Jun 94   68       0         0           -25    A0.1            
03 Jun 94   68       0         0           -17    A0.1            
04 Jun 94   68       0         0            -4    A0.1            
05 Jun 94   68       0         0            16    A0.2            
06 Jun 94   71      14        70            34    A1.6            
07 Jun 94   77      39       290            42    A6.6            
08 Jun 94   80      62       400            39    A7.5            
09 Jun 94   83      62       300            34    A8.5            
10 Jun 94   85      70       340            36    A6.2            
11 Jun 94   86      80       250            27    A7.3            
12 Jun 94   86      89       250            26    A9.0            
13 Jun 94   85      73       280            28    A9.9            
14 Jun 94   85      88       210            40    A9.1            
15 Jun 94   88      86       210            39    B1.0            
16 Jun 94   88      80       300            29    B1.0            
17 Jun 94   84      53       340            19    A9.2            
18 Jun 94   78      49       130            10    A6.6            
19 Jun 94   77      60        30             6    A5.0            
20 Jun 94   76      25        20           -16    A2.8            
21 Jun 94   74      38        20           -13    A1.8            
22 Jun 94   72      20        30           -25    A1.4            
23 Jun 94   73      35        40           -19    A1.7            
24 Jun 94   73      45        60           -15    A1.8            
25 Jun 94   73      54        40           -29    A2.9            
26 Jun 94   74      27        20           -20    A3.9            
27 Jun 94   73      23        50           -33    A5.2            
28 Jun 94   74      25        80           -31    A4.6            
29 Jun 94   79      32       210           -29    A4.4            
30 Jun 94   83      50       240           -14    A7.8            
01 Jul 94   87      57       230           -14    A8.1            
02 Jul 94   83      68       320             7    A5.0            
03 Jul 94   86      61       290            26    A5.9            
04 Jul 94   85      57       290            23    A6.0            
05 Jul 94   83      38       290            10    A4.3            
06 Jul 94   84      51       320             5    A4.8            
07 Jul 94   88      90       270             9    A6.0            
08 Jul 94   86      82       340            16    A6.2            
09 Jul 94   86      72       250            33    A6.6            
10 Jul 94   86      92       290            31    A6.9            
11 Jul 94   86     102       370            34    A6.9            
12 Jul 94   83      84       630            41    A6.3            
13 Jul 94   81      81       210            30    A6.1            
14 Jul 94   82      90       120            12    A6.8            
15 Jul 94   83      59       120             5    B1.1            
16 Jul 94   82      76       200            -2    B1.1            
17 Jul 94   80      73       220           -19    A6.3            
18 Jul 94   80      79       200           -24    A4.1            
19 Jul 94   78      44       200           -21    A3.4            
20 Jul 94   77      39       200           -16    A2.5            
21 Jul 94   77      38       170           -14    A1.8            
22 Jul 94   78      29       150           -14       *            
23 Jul 94   76      18       150           -14    A2.1            
24 Jul 94   75      20       160           -12    A2.6            
25 Jul 94   75      14       140           -10    A2.4            
26 Jul 94   74      22       130            -6    A1.9            
27 Jul 94   74      22       150            -3    A1.8            
28 Jul 94   75      25       100             2    A1.9            
29 Jul 94   76      11         0             4    A1.8            
30 Jul 94   75      25        10            13    A1.3            
31 Jul 94   75      14        20            13    A1.4            
01 Aug 94   74      33         0            20    A1.5            
02 Aug 94   75      24        40            -1    A2.9            
