:Product: Daily Geomagnetic Data     1995_DGD.txt
:Issued: 1428 UT 22 Jul 1997
#
#  Prepared by the U.S. Dept. of Commerce, NOAA, Space Environment Center.
#  Please send comment and suggestions to sec@sec.noaa.gov
#
#                    1995 Daily Geomagnetic Data
#
#                 Middle Latitude        High Latitude            Estimated
#               - Fredericksburg -     ---- College ----      --- Planetary ---
#   Date        A     K-indices        A     K-indices        A     K-indices
#------------------------------------------------------------------------------
01 Jan 95       3  1-0-0-1-0-0-3-1     *  *-0-*-*-*-*-*-*     4  1-1-1-2-1-2-2-1
02 Jan 95      17  1-2-3-3-2-4-5-3     *  *-1-*-*-*-*-*-*    12  1-2-3-3-2-4-4-3
03 Jan 95      18  4-3-3-3-3-4-3-3     *  *-*-*-*-*-*-*-*    21  4-3-5-3-3-4-3-3
04 Jan 95      16  4-2-3-3-4-3-3-2     *  *-*-3-*-*-*-*-*    17  4-2-3-4-3-3-3-3
05 Jan 95      19  3-2-3-3-4-4-4-3     *  *-*-*-*-*-*-*-*    18  3-3-3-4-4-3-3-3
06 Jan 95      15  2-3-3-3-3-2-3-4     *  3-1-2-5-*-*-*-*    15  2-3-3-4-4-3-3-3
07 Jan 95       7  2-2-2-2-2-2-2-2     *  *-*-*-*-*-*-*-*     9  2-2-2-3-3-3-2-2
08 Jan 95       7  3-2-1-1-2-2-2-1     *  *-*-1-*-*-*-*-1     7  2-2-1-2-2-2-2-1
09 Jan 95       5  1-2-3-1-0-1-2-1     *  1-2-*-*-*-*-*-*     7  1-2-3-1-1-2-2-2
10 Jan 95       7  0-0-2-2-2-2-3-3     *  *-*-*-*-*-*-*-*     6  1-0-2-2-2-2-2-3
11 Jan 95      15  3-3-3-3-4-3-2-2     *  *-*-*-*-*-*-*-*    13  2-3-3-3-4-3-2-2
12 Jan 95       3  2-0-0-1-1-1-2-1     *  *-*-*-*-*-*-*-*     4  2-1-1-1-2-1-1-1
13 Jan 95       9  2-3-3-3-2-1-1-1     *  0-*-*-4-*-*-*-1     8  1-3-3-3-2-1-2-2
14 Jan 95       2  1-0-1-1-0-1-1-1     *  *-*-*-*-*-*-*-*     4  1-1-2-1-1-1-1-2
15 Jan 95       2  1-0-2-0-1-1-0-1     *  0-*-2-*-*-*-*-*     3  0-0-2-1-1-1-1-1
16 Jan 95      15  2-2-2-4-4-3-3-3     *  *-*-*-*-*-*-*-*    16  2-2-3-5-4-2-3-3
17 Jan 95      22  3-3-3-4-3-4-3-5     *  *-*-5-*-*-*-*-*    27  2-3-4-5-3-4-4-5
18 Jan 95      19  5-4-4-3-3-2-2-2     *  *-*-*-*-*-*-*-*    28  5-6-5-4-2-2-2-2
19 Jan 95       4  2-1-0-1-2-1-1-1     *  *-*-*-*-*-2-1-1     6  2-2-2-2-2-2-2-2
20 Jan 95       5  1-1-1-0-2-1-2-3    21  1-1-1-7-1-2-2-2     6  2-1-1-2-1-1-2-2
