:Product: Daily Geomagnetic Data     1997_DGD.txt
:Created: 1900 UT 17 Dec 1998
#
#  Prepared by the U.S. Dept. of Commerce, NOAA, Space Environment Center.
#  Please send comment and suggestions to sec@sec.noaa.gov
#
#                        1997 Daily Geomagnetic Data
#
#                 Middle Latitude        High Latitude            Estimated
#               - Fredericksburg -     ---- College ----      --- Planetary ---
#   Date        A     K-indices        A     K-indices        A     K-indices
#------------------------------------------------------------------------------
1997 01 01     4  1 1 1 1 1 1 1 2     *  * * * * * * * *     2  1 1 0 0 0 1 1 2
1997 01 02     4  1 1 1 2 1 1 1 1     *  * * * * * * * *     5  1 1 2 1 1 2 1 0
1997 01 03     3  1 1 1 1 1 2 1 1     *  * * * * * * * *     2  1 0 0 1 0 1 1 1
1997 01 04     4  2 1 1 2 1 0 1 1     *  * * * * * * * *     4  1 1 1 1 0 1 1 1
1997 01 05     4  1 2 1 1 1 1 1 1     *  * * * * * * * *     3  0 1 0 0 0 1 1 1
1997 01 06     4  1 1 1 1 2 1 1 1     *  * * * * * * * *     2  0 0 0 1 1 1 1 0
1997 01 07    11  3 3 2 3 3 2 2 2     *  * * * * * * * *    10  2 3 2 3 2 2 2 1
1997 01 08     7  2 3 2 1 2 1 1 2     *  * * * * * * * *     7  2 3 2 1 1 1 1 1
1997 01 09     6  2 1 3 1 1 1 2 2     0  0 0 0 0 0 0 0 0     6  1 0 3 1 0 1 1 1
1997 01 10    21  2 4 4 4 3 4 4 3    37  1 2 6 7 5 3 2 1    31  2 4 6 6 4 3 3 2
1997 01 11    19  5 4 2 4 4 2 2 1    15  3 1 2 6 3 0 0 1    13  4 4 2 4 4 1 2 1
1997 01 12    10  2 2 4 2 2 2 2 2    12  0 0 6 2 1 2 0 0    10  1 1 5 2 1 2 2 2
1997 01 13     8  1 3 1 2 3 2 2 1     2  0 0 0 2 2 0 1 0     5  1 2 1 2 2 1 2 0
1997 01 14     5  1 1 1 1 2 2 2 2     *  0 0 0 2 0 0 * *     4  0 0 1 0 2 1 2 2
1997 01 15     5  1 1 2 1 2 2 2 1     *  * * * * * * * *     4  1 0 2 2 2 2 1 1
