:Product: Daily Geomagnetic Data     2000_DGD.txt
:Issued: 1800 UT 07 Jan 2001
#
#  Prepared by the U.S. Dept. of Commerce, NOAA, Space Environment Center.
#  Please send comment and suggestions to sec@sec.noaa.gov
#
#                         2000 Daily Geomagnetic Data
#
#                 Middle Latitude        High Latitude            Estimated
#               - Fredericksburg -     ---- College ----      --- Planetary ---
#   Date        A     K-indices        A     K-indices        A     K-indices
#------------------------------------------------------------------------------
2000 01 01    21  5 5 3 3 3 2 3 2    44  4 3 6 6 6 4 4 3    27  4 5 4 4 5 3 3 2
2000 01 02    13  3 3 3 3 2 3 3 2    25  3 3 4 5 4 4 3 4    14  3 3 3 4 3 3 3 3
2000 01 03    10  3 3 3 2 2 1 3 1    19  3 2 4 5 4 3 2 2    13  4 3 3 3 2 2 3 2
2000 01 04     9  2 2 2 3 2 2 2 3    28  0 1 3 6 6 4 2 3    12  1 2 3 3 4 3 2 3
2000 01 05    13  3 3 3 3 2 2 3 3    29  2 3 3 5 4 6 4 3    15  3 3 3 3 3 3 3 4
2000 01 06    15  2 3 1 4 4 4 2 1    39  2 2 1 5 7 6 3 3    17  2 3 1 3 5 4 3 3
2000 01 07     7  3 2 1 2 1 2 2 2    12  2 3 1 4 3 3 2 2     8  3 2 1 3 2 2 2 2
2000 01 08     3  2 0 1 2 1 2 0 0     6  1 0 0 3 3 3 0 0     6  1 1 2 3 2 2 2 1
2000 01 09     1  2 0 0 0 0 1 0 0     0  0 0 0 1 0 0 0 0     3  1 0 0 0 1 1 1 2
2000 01 10     4  1 1 1 0 1 1 1 3     3  0 0 0 1 1 0 1 3     6  1 1 1 1 1 2 2 3
2000 01 11    15  2 1 1 2 2 3 4 5    25  2 1 1 2 4 5 6 4    16  2 1 1 2 3 4 5 4
2000 01 12     8  2 3 2 2 3 2 2 1    -1  3 2 3 2-1 2 2-1     9  3 3 2 2 1 2 3 2
2000 01 13     9  1 3 2 2 4 1 1 1    -1  1 1 5 4 4 3-1-1    10  2 2 3 3 2 3 2 2
2000 01 14     4  2 2 1 0 1 1 2 1    15  2 2 1 3 4 2 5 2     7  2 2 0 1 2 3 3 2
2000 01 15     5  1 1 1 0 2 3 1 1     8  0 2 1 0 5 0 1 0     5  2 1 1 1 2 2 2 2
2000 01 16     4  1 1 1 2 1 2 1 1     3  1 1 0 3 2 1 0 0     6  2 1 0 1 2 2 2 3
2000 01 17     4  1 2 1 0 1 3 0 0     2  1 0 2 1 0 0 0 0     3  1 0 1 1 1 2 2 1
2000 01 18     3  0 1 0 1 2 1 2 0     1  0 0 1 1 1 0 0 0     4  0 0 0 1 1 3 2 2
2000 01 19     3  0 0 0 0 0 2 2 2     1  0 0 0 0 0 0 1 1     4  0 0 0 0 0 2 2 3
2000 01 20    13  2 1 3 4 3 3 3 2    -1  2 1 2 6-1-1-1 4    12  2 1 3 3 3 3 3 2
2000 01 21     0  0 0 0 0 0 0 0 0     6  0 0 0 1 5 0 0 0     3  1 0 0 0 1 1 1 1
2000 01 22    11  1 2 2 2 2 3 3 4    28  0 2 3 4 5 5 5 4    19  2 2 2 4 4 4 5 4
2000 01 23    12  5 3 1 2 3 2 1 0    27  4 4 2 5 6 4 0 0    25  5 5 2 4 4 3 2 2
2000 01 24    12  1 2 4 4 2 2 2 2    26  1 2 4 6 5 4 3 2    17  1 3 4 4 3 3 3 2
2000 01 25     4  1 2 1 1 1 1 2 1    12  2 3 3 3 4 2 2 1     7  2 3 2 2 1 2 2 2
2000 01 26     7  1 3 3 2 1 1 1 2    -1  1 4 2 0-1 1 1 2     7  2 4 2 0 1 2 2 2
2000 01 27    10  2 1 2 2 1 2 4 3    22  2 1 2 4 6 2 4 3    12  2 2 2 3 3 3 4 4
2000 01 28    22  4 4 4 3 4 3 3 4    62  6 5 5 6 7 5 4 4    29  4 5 4 4 5 3 3 4
2000 01 29    22  3 3 4 3 4 4 4 4    -1  4 5-1-1-1-1-1-1    25  3 4 4 4 5 4 4 3
2000 01 30    12  2 3 4 2 3 2 3 1    -1 -1-1-1-1-1-1-1-1    11  2 2 3 2 3 2 4 1
2000 01 31     7  2 2 2 2 3 2 2 1    -1 -1-1-1-1-1 3 2 2     6  3 2 2 2 3 3 2 2
2000 02 01     5  1 1 2 0 2 2 2 2    -1  1 1 2 1-1 3-1 1     8  3 1 2 1 3 3 2 2
2000 02 02     9  3 1 0 2 2 4 2 1    15  1 2 0 2 4 4 5 1     7  3 1 0 2 3 3 2 1
2000 02 03     7  1 1 3 1 3 1 2 2    16  1 1 3 4 5 4 1 1     8  1 1 3 2 2 2 3 3
2000 02 04     4  2 1 2 0 2 1 1 1     7  1 2 4 0 3 1 0 0     4  2 0 2 0 2 1 2 1
2000 02 05    10  1 0 0 1 1 2 5 3    16  0 0 0 2 0 3 6 4     9  0 0 0 1 1 3 4 4
2000 02 06    21  3 4 3 3 4 3 4 4    43  3 3 4 7 5 5 4 4    24  4 4 4 5 4 4 3 4
2000 02 07    19  4 3 3 3 3 2 4 4    38  3 3 4 6 6 5 4 3    25  4 3 3 4 5 4 4 3
2000 02 08    10  3 3 1 3 2 3 2 2    -1  3 2-1-1-1-1-1-1    12  3 3 1 3 2 3 3 3
2000 02 09     6  1 2 2 1 2 3 1 1    21  1 2 3 1 6 5 2 1    11  1 3 2 1 4 4 3 2
2000 02 10    10  2 2 3 1 1 4 2 2     7  2 1 3 2 2 2 1 2     7  2 2 2 1 2 2 2 3
2000 02 11    10  2 4 2 2 2 1 1 3    20  2 4 1 4 4 4 3 4    13  3 4 2 3 3 3 3 3
2000 02 12    35  5 4 5 6 5 3 2 2    71  4 4 5 8 7 5 4 2    52  5 4 5 7 6 5 4 2
2000 02 13    13  3 2 2 3 3 4 2 2    22  3 1 3 4 5 5 3 2    14  3 2 3 4 3 4 3 3
2000 02 14    20  3 4 4 3 5 3 2 2    38  3 3 4 6 6 5 4 3    29  3 4 4 5 6 4 3 3
2000 02 15    11  3 3 2 1 2 1 2 4    15  4 4 3 3 2 2 2 3    11  3 4 2 1 2 2 3 2
2000 02 16     6  2 3 1 0 2 1 2 2    20  6 3 1 2 4 3 2 1     5  2 2 0 1 2 2 2 0
2000 02 17     6  0 1 1 3 3 2 2 1    -1  0 0-1-1-1-1 2 0     6  0 0 1 3 3 2 2 2
2000 02 18     2  0 2 1 0 1 1 0 1     0  0 0 0 0 0 0 0 0     2  0 0 1 0 1 1 1 1
