:Product: Daily Geomagnetic Data 2001_DGD.txt
:Issued: 1800 UT 07 Jan 2002
#
#  Prepared by the U.S. Dept. of Commerce, NOAA, Space Environment Center.
#  Please send comment and suggestions to sec@sec.noaa.gov
#
#                          2001 Daily Geomagnetic Data
#
#                Middle Latitude        High Latitude            Estimated
#              - Fredericksburg -     ---- College ----      --- Planetary ---
#  Date        A     K-indices        A     K-indices        A     K-indices
#------------------------------------------------------------------------------
2001 01 01     2  0 0 2 2 0 1 1 0    -1  0 1-1 0 0 0 0 0     3  0 0 1 1 1 0 1 1
2001 01 02     2  1 0 0 0 0 1 1 2     0  0 0 0 0 0 0 0 1     4  1 0 0 0 2 2 2 2
2001 01 03     7  2 3 2 3 1 0 1 1    22  1 3 3 6 5 0 0 3    11  2 4 2 3 3 2 2 2
2001 01 04    11  2 1 3 2 2 4 3 2     8  0 1 3 2 3 3 1 1    10  2 1 3 2 3 3 3 2
2001 01 05     5  2 2 1 1 0 0 1 3     2  0 0 1 1 2 0 0 1     6  1 1 1 1 1 3 2 3
2001 01 06     5  3 2 1 1 0 1 0 2     4  2 0 0 2 3 1 0 0     6  2 1 2 1 2 3 2 2
2001 01 07     6  2 2 2 1 1 2 2 2    -1  0 1-1-1-1-1-1-1     5  2 2 1 1 1 2 2 2
2001 01 08     8  2 2 1 1 2 2 3 3    -1 -1-1-1-1-1 1 2 3    10  2 2 1 1 2 2 3 3
2001 01 09     2  1 0 0 1 1 1 1 1    10  2 0 1 3 4 1 4 1     5  1 1 0 1 2 2 2 1
2001 01 10     5  0 0 0 0 1 3 2 3     4  0 0 0 0 1 3 1 2     4  0 0 0 0 1 3 2 2
2001 01 11     4  1 1 1 1 2 2 1 1     6  0 0 0 1 3 3 3 1     5  1 0 0 1 2 2 3 2
2001 01 12     5  2 3 2 2 1 1 0 0    10  2 2 2 5 2 0 0 0     7  2 3 2 3 2 2 1 1
2001 01 13     5  1 1 1 2 3 1 1 1    -1  1 0 1 1-1 1 1 0     5  1 0 1 2 3 2 2 1
2001 01 14     6  1 3 2 1 1 1 2 2     7  1 1 2 4 2 0 2 0     8  1 2 2 2 2 3 3 2
2001 01 15     3  0 0 2 1 1 0 1 2    17  0 0 1 5 5 3 2 3     7  0 0 2 3 3 2 2 3
2001 01 16     4  1 0 2 2 2 1 1 0    -1  2 0 2 2 5 3-1-1     6  0 0 2 2 3 2 3 1
2001 01 17     4  2 1 0 0 1 2 2 1    -1 -1 0 0 0 0 2 2 0     7  3 1 0 1 2 3 3 2
2001 01 18     4  1 0 1 1 2 2 1 1     3  0 0 1 1 3 0 0 0     4  0 0 1 2 1 2 2 2
2001 01 19     3  1 2 0 0 1 0 1 2     1  0 0 0 0 2 0 0 1     4  1 1 0 0 2 2 2 2
2001 01 20     6  0 1 3 2 2 1 1 2    17  0 0 5 3 5 3 2 1     8  0 0 3 2 3 2 3 3
2001 01 21    12  2 1 3 4 3 2 2 3    36  1 1 4 7 4 5 4 3    18  2 2 3 5 4 3 3 4
2001 01 22     8  3 2 2 2 2 2 2 2    17  2 2 2 4 3 4 4 3    10  3 3 2 2 3 3 2 2
2001 01 23     7  1 1 0 3 2 2 3 2    15  2 1 0 3 4 4 3 4    11  1 1 0 3 3 3 4 3
2001 01 24    12  2 2 0 3 4 3 3 2    44  2 3 1 6 6 6 6 2    18  2 3 1 4 5 4 4 3
2001 01 25     2  2 0 0 0 0 1 1 1     3  2 1 0 1 0 0 2 1     4  1 0 0 1 1 2 2 2
2001 01 26     9  2 1 4 2 2 2 2 2    15  1 2 5 4 3 2 2 1    10  2 2 4 3 2 2 2 3
2001 01 27     2  1 2 0 0 1 1 0 0     2  1 1 1 2 0 0 0 1     4  2 2 1 0 1 2 2 1
2001 01 28     6  0 1 1 1 3 2 2 2    10  0 0 2 4 4 2 2 1     6  0 1 1 2 3 2 2 2
2001 01 29    16  5 4 2 1 2 1 3 3    16  5 5 3 2 0 2 2 1    13  4 4 3 1 1 2 2 3
2001 01 30     3  1 3 0 0 1 1 0 0     1  1 1 0 0 0 0 0 0     4  1 3 0 0 1 1 1 1
2001 01 31    11  0 1 3 3 3 3 3 2    34  0 0 4 6 5 6 4 2    18  0 0 4 5 4 4 3 3
2001 02 01     5  2 3 1 1 1 1 1 1     8  1 3 3 2 3 1 1 1     7  1 3 3 2 2 1 1 2
2001 02 02     3  3 1 0 1 0 1 1 0     2  0 1 0 3 0 0 1 1     5  3 2 0 2 1 2 2 1
2001 02 03     0  0 0 0 0 0 0 1 0     0  0 0 0 0 0 0 0 0     2  1 0 0 0 1 1 1 0
2001 02 04     1  0 0 0 1 0 0 1 0     0  0 0 0 0 0 0 1 0     2  0 0 0 0 1 1 1 0
2001 02 05     2  0 0 0 0 1 0 2 1     1  0 0 0 0 1 0 1 0     3  0 0 0 0 1 1 2 2
2001 02 06    11  2 2 4 1 1 2 3 3    17  1 1 5 5 3 2 2 2    11  2 1 4 3 2 3 2 3
2001 02 07     5  2 3 1 0 1 1 1 1     5  2 2 1 2 1 1 2 1     5  2 3 1 1 1 2 2 2
2001 02 08     5  1 1 2 2 1 2 1 2     3  0 1 1 3 0 0 1 1     6  1 2 2 3 0 2 2 3
2001 02 09     3  1 0 0 1 1 2 2 0    -1  1 0 0 1 3-1 1 0     4  0 0 0 1 2 2 2 2
2001 02 10     4  1 2 1 1 2 2 1 0     6  1 1 1 3 1 3 1 0     5  1 2 1 2 2 3 2 1
2001 02 11     5  2 2 2 2 2 0 1 1    11  1 0 4 4 4 0 1 1     7  2 2 3 3 2 2 1 1
2001 02 12     5  2 0 0 0 3 2 1 2     3  1 0 0 1 1 1 1 2     4  1 0 2 0 1 2 2 2
2001 02 13    16  2 3 3 3 3 4 3 3    24  2 3 4 4 4 5 4 3    19  2 4 4 3 3 4 4 4
2001 02 14    14  4 3 2 3 3 1 3 3    26  3 4 2 4 5 5 4 2    17  4 4 3 4 4 3 3 3
2001 02 15     3  1 0 2 2 0 1 1 0     6  1 0 1 4 2 1 1 0     5  1 1 2 3 1 1 2 1
2001 02 16     2  0 1 0 1 1 1 1 1     2  0 0 0 1 1 1 1 1     3  0 0 0 1 1 1 2 2
2001 02 17     2  1 0 0 0 1 1 2 0     1  1 0 0 1 0 1 0 0     3  1 0 0 1 1 2 2 1
2001 02 18     2  1 1 0 1 0 1 1 0     1  0 0 0 0 1 1 0 0     4  1 0 0 0 1 2 2 2
2001 02 19     3  0 1 2 1 2 1 1 0     4  0 0 2 3 1 2 1 0     6  1 1 2 2 2 3 1 2
2001 02 20     9  2 1 2 4 3 2 1 2    -1 -1-1-1-1-1-1-1-1     8  1 1 2 3 3 2 2 2
2001 02 21     6  3 1 0 2 3 2 0 1    13  4 0 1 4 5 1 0 0     6  2 1 1 2 3 2 2 2
2001 02 22     7  1 0 3 3 2 2 2 1    -1  1 0-1-1-1 2 1 1     6  0 0 3 2 1 2 2 3
2001 02 23     9  3 2 3 2 3 1 1 1    18  3 3 4 3 5 3 1 1    11  3 3 4 2 3 3 2 2
2001 02 24     3  1 2 0 0 2 1 0 0     3  1 1 0 2 2 1 0 0     5  1 2 0 2 2 3 1 0
2001 02 25     1  0 1 0 0 0 0 1 0     0  0 0 0 1 0 0 0 0     3  0 0 1 1 1 2 1 0
2001 02 26     5  1 0 2 1 1 2 2 2     8  0 1 3 3 2 3 1 2    10  2 0 3 2 2 4 3 3
2001 02 27     8  3 3 3 3 1 0 0 1    20  3 2 6 4 4 1 1 0    13  3 3 4 3 3 2 1 1
2001 02 28     6  0 0 1 2 3 3 2 1    14  1 0 0 3 5 4 3 1     7  1 0 1 2 3 3 3 2
2001 03 01     6  3 1 1 1 1 3 2 1    -1  2 1-1-1-1 1 2 1     5  3 1 1 1 1 2 2 1
2001 03 02     6  1 1 2 1 2 2 3 1    12  1 0 2 4 4 3 3 1     8  1 1 2 2 2 3 3 3
2001 03 03     7  2 2 0 2 2 2 3 2    25  2 2 0 5 6 4 4 2    14  2 3 1 4 4 3 4 3
2001 03 04    13  2 2 3 2 3 2 3 4    27  1 3 3 6 5 3 3 4    17  3 3 4 3 3 3 4 4
2001 03 05    14  5 3 3 2 3 1 1 2    22  4 4 4 5 3 3 1 3    18  5 4 4 4 2 2 2 2
2001 03 06     4  1 1 2 1 1 2 2 0    -1 -1-1-1-1-1-1-1-1     6  1 1 2 2 2 2 3 2
2001 03 07     9  2 2 3 2 2 3 2 1    10  1 1 2 4 3 3 2 1     7  1 2 3 2 2 3 2 1
2001 03 08     7  0 0 2 3 2 3 2 2     8  1 0 3 4 1 2 2 1     6  1 0 2 3 1 2 2 2
2001 03 09     7  3 2 2 1 2 2 1 1    -1  1 1-1-1-1 4 2 0     6  2 1 2 1 2 3 2 1
2001 03 10     3  0 2 1 1 1 1 2 0     3  0 0 1 1 3 0 1 0     5  1 2 1 1 2 2 3 1
2001 03 11     2  1 2 0 0 1 0 0 0     1  0 0 0 1 1 0 0 0     4  0 1 0 1 2 1 2 1
2001 03 12     8  0 0 1 2 3 2 3 3    11  0 0 2 4 4 2 2 3    10  1 0 2 3 3 3 3 3
2001 03 13     6  2 2 2 3 0 1 1 1    -1 -1-1 2-1 3 1 0 1     7  2 2 2 3 2 2 2 2
2001 03 14     8  3 2 3 2 2 1 1 2     8  1 1 3 4 3 0 1 0     7  2 2 3 3 2 1 2 1
2001 03 15     2  0 0 1 0 2 0 1 1     2  0 0 1 1 0 0 0 0     3  0 0 2 1 1 1 2 1
