:Product: Daily Geomagnetic Data     2004_DGD.txt
:Issued: 1800 UT 07 Jan 2005
#
#  Prepared by the U.S. Dept. of Commerce, NOAA, Space Environment Center.
#  Please send comment and suggestions to SEC.Webmaster@noaa.gov
#
#                      2004 Daily Geomagnetic Data
#
#                Middle Latitude        High Latitude            Estimated
#              - Fredericksburg -     ---- College ----      --- Planetary ---
#  Date        A     K-indices        A     K-indices        A     K-indices
#------------------------------------------------------------------------------
2004 01 01    12  2 3 2 3 4 2 2 2    55  3 4 7 5 7 4 4 3    27  3 4 5 5 5 4 3 3
2004 01 02     9  4 2 1 1 2 2 2 2    24  2 2 3 3 6 5 3 2    13  3 2 2 2 3 4 3 3
2004 01 03    11  2 2 3 3 3 2 3 2    41  2 3 6 6 6 4 3 4    26  2 3 5 5 4 4 4 3
2004 01 04    13  2 2 3 3 3 4 2 2    42  2 3 4 4 6 7 4 3    24  3 3 4 4 4 4 4 3
2004 01 05    15  3 3 2 2 3 4 3 3    42  2 5 3 5 6 6 4 4    22  4 3 3 3 4 4 4 4
2004 01 06    17  3 3 4 2 2 2 2 5    22  3 3 3 5 2 3 3 5    20  3 3 4 3 3 3 3 5
2004 01 07    16  3 3 4 3 4 3 2 2    70  4 3 6 7 7 6 5 4    32  3 4 5 5 5 5 4 3
2004 01 08     4  1 0 0 1 1 1 1 3     9  3 2 0 3 3 1 2 2     9  2 1 1 3 3 3 2 3
2004 01 09    16  2 2 5 3 2 4 2 2    39  2 3 6 4 5 6 5 2    21  2 3 5 4 3 4 3 3
2004 01 10    20  2 5 5 3 4 2 2 1    34  2 4 5 6 4 4 5 2    24  3 5 5 4 3 3 4 2
2004 01 11    12  1 2 3 3 3 4 2 1    36  1 1 4 6 6 6 3 1    17  2 2 3 4 4 4 4 2
2004 01 12     5  1 1 0 0 1 2 2 3    12  1 1 0 2 4 4 3 3    10  2 2 1 2 3 3 3 3
2004 01 13    14  3 3 2 1 3 3 4 3    29  3 2 3 2 6 5 5 3    18  3 3 3 2 4 4 4 3
2004 01 14     7  3 3 1 1 2 1 1 1    18  4 2 1 4 4 4 3 2    12  3 3 2 3 3 3 2 2
2004 01 15     9  1 3 1 1 3 3 2 3    29  2 2 1 1 6 6 4 4    16  2 3 2 2 4 4 4 3
2004 01 16    21  5 3 2 4 3 3 4 3    44  4 3 2 6 5 6 5 5    26  4 4 3 5 4 4 5 4
2004 01 17     9  2 2 2 2 2 2 3 3    24  3 2 3 5 5 4 4 2    14  3 2 3 4 3 3 3 3
2004 01 18    15  1 4 3 2 2 1 4 4    19  2 4 4 3 4 2 3 4    18  2 4 4 3 3 3 4 4
2004 01 19    10  3 2 2 2 3 3 2 2    37  3 2 2 6 6 6 3 3    17  3 2 3 4 4 4 3 3
2004 01 20    11  3 2 2 2 3 3 2 2    37  3 2 2 6 6 6 3 3    16  3 3 3 2 4 4 3 3
2004 01 21     8  2 2 3 2 2 1 2 2    26  2 2 4 5 5 5 3 2    12  2 2 4 3 4 3 3 2
2004 01 22    35  4 4 3 5 5 2 4 6    80  5 5 7 7 7 4 6 3    62  5 5 6 7 7 4 5 4
2004 01 23    21  3 4 3 4 3 4 4 3    80  3 4 6 7 7 7 6 3    38  4 5 4 5 5 5 5 3
2004 01 24    10  4 2 2 3 2 1 2 2    23  4 2 3 5 4 3 4 3    15  4 2 2 4 3 3 3 3
2004 01 25    17  4 3 3 3 3 3 2 3    48  4 5 5 6 5 6 4 4    33  5 5 5 4 4 4 3 3
2004 01 26     9  2 2 3 3 2 2 2 2    29  3 2 4 5 5 5 4 3    17  3 1 4 3 4 4 4 3
