:Product: Daily Geomagnetic Data     2005_DGD.txt
:Issued: 1800 UT 07 Jan 2006
#
#  Prepared by the U.S. Dept. of Commerce, NOAA, Space Environment Center.
#  Please send comment and suggestions to SEC.Webmaster@noaa.gov
#
#                       2005 Daily Geomagnetic Data
#
#                Middle Latitude        High Latitude            Estimated
#              - Fredericksburg -     ---- College ----      --- Planetary ---
#  Date        A     K-indices        A     K-indices        A     K-indices
#------------------------------------------------------------------------------
2005 01 01    10  1 3 2 2 2 2 3 3    34  4 5 3 4 5 3 6 3    15  1 4 3 2 3 3 4 3
2005 01 02    20  3 3 3 3 2 4 3 5    64  2 3 7 6 5 7 4 5    33  4 4 5 4 3 5 3 5
2005 01 03    14  3 3 2 3 4 3 2 2    44  3 3 6 6 6 5 4 2    22  4 4 3 3 5 4 3 2
2005 01 04    16  4 4 2 3 3 3 2 3    41  3 3 4 5 6 6 5 3    23  4 4 3 4 4 4 3 3
2005 01 05    11  4 3 2 3 2 2 1 1    26  3 2 5 6 4 3 3 1    21  5 4 5 4 3 3 1 2
2005 01 06     4  1 0 0 0 2 1 3 1    18  1 4 0 3 4 4 3 4     4  2 0 0 0 0 1 3 1
2005 01 07    21  0 0 0 1 4 4 4 6    70  4 5 0 4 8 7 4 5    37  1 0 0 1 6 6 4 7
2005 01 08    20  5 5 3 3 3 2 2 2    34  6 5 3 6 4 1 2 3    30  6 6 3 4 3 3 2 2
2005 01 09     3  1 1 0 3 0 1 1 0     3  1 2 0 1 0 0 2 0     4  1 1 0 3 1 1 1 1
2005 01 10     4  0 1 1 1 2 1 1 2     5  0 1 1 1 2 2 2 2     6  1 1 1 1 2 2 2 2
2005 01 11     9  1 3 3 2 1 3 2 2    22  1 4 5 3 3 5 2 3    14  1 4 4 2 2 3 2 3
2005 01 12    18  3 4 3 3 4 3 3 3    47  3 4 3 7 6 5 4 4    30  4 5 3 5 5 3 3 3
2005 01 13    10  2 3 2 1 2 3 3 2    20  3 3 2 4 4 4 3 4    13  2 4 2 2 3 3 3 3
2005 01 14    11  2 2 2 1 1 1 4 4     9  4 2 2 1 1 1 2 3    12  2 2 2 1 1 1 4 4
2005 01 15    11  2 3 3 2 3 3 2 2    29  4 4 6 5 3 3 3 1    22  3 6 4 3 3 3 3 2
2005 01 16    10  2 1 2 2 3 3 2 3    16  1 2 3 5 4 3 2 2    12  2 2 2 2 3 3 2 3
2005 01 17    27  3 2 2 5 5 5 4 3   114  4 4 4 8 8 8 6 4    63  5 4 3 7 7 7 5 3
2005 01 18    35  6 4 5 4 4 4 3 4   136  6 5 8 7 8 8 5 5    72  6 5 7 5 6 6 4 5
2005 01 19    31  5 5 5 4 5 2 2 3   106  4 4 7 9 7 6 2 4    62  6 6 6 7 6 4 3 4
2005 01 20    10  0 1 1 2 4 4 2 2    24  2 2 1 2 5 6 3 4    12  2 1 1 2 4 4 3 3
2005 01 21    30  3 1 2 1 2 6 6 5    92  2 2 4 5 4 8 8 7    61  3 1 3 2 2 8 8 6
2005 01 22    23  5 6 2 2 2 2 3 3    41  5 5 5 5 5 5 4 3    28  5 6 3 3 3 3 4 3
