:Product: Daily Geomagnetic Data     2007_DGD.txt
:Issued: 1800 UT 02 Jan 2008
#
#  Prepared by the U.S. Dept. of Commerce, NOAA, Space Weather Prediction Center
#  Please send comment and suggestions to SWPC.Webmaster@noaa.gov
#
#                    2007 Daily Geomagnetic Data
#
#                Middle Latitude        High Latitude            Estimated
#              - Fredericksburg -     ---- College ----      --- Planetary ---
#  Date        A     K-indices        A     K-indices        A     K-indices
#------------------------------------------------------------------------------
2007 01 01     7  0 0 1 2 3 3 2 2    16  0 0 2 5 5 3 2 1     7  0 0 1 2 3 3 1 2
2007 01 02    12  4 3 1 3 3 2 2 2    30  2 2 3 6 6 4 3 3    19  4 4 2 4 5 3 2 3
2007 01 03    11  1 3 2 3 3 3 2 3    48  2 4 4 6 7 6 3 3    20  2 4 3 4 4 4 3 3
2007 01 04    13  3 3 3 3 2 3 3 2    25  3 4 4 5 5 4 2 2    16  3 4 4 4 2 3 2 2
2007 01 05     6  2 2 2 2 2 2 1 1    19  2 2 3 5 5 4 1 1     9  3 2 2 3 3 2 2 1
2007 01 06     2  1 2 0 0 1 2 0 1     2  0 0 0 0 2 2 1 1     3  1 1 0 0 1 2 1 1
2007 01 07     1  0 0 0 0 1 2 0 0     2  0 0 0 2 2 0 0 0     2  0 0 0 0 1 1 1 1
2007 01 08     2  0 1 0 0 1 1 1 0     1  0 0 0 0 2 0 0 0     4  0 2 0 0 1 1 2 1
2007 01 09     3  0 1 1 1 1 1 1 1     3  0 0 1 2 1 1 1 0     4  1 0 1 1 2 2 2 1
2007 01 10     4  0 2 1 2 1 2 1 1    10  0 1 1 3 4 4 1 1     7  1 2 2 2 2 3 1 1
2007 01 11     4  1 2 2 1 2 1 1 1     5  0 1 2 2 3 2 1 1     6  1 2 2 1 2 2 1 1
2007 01 12     2  2 0 1 0 1 0 0 0     2  2 1 1 0 0 0 0 0     3  3 0 0 0 0 0 0 1
2007 01 13     0  0 0 0 0 0 0 1 0     0  0 0 0 0 0 0 0 0     1  0 0 0 0 0 0 0 0
2007 01 14     2  0 0 0 0 2 0 1 1     0  0 0 0 0 0 0 0 0     2  0 0 0 0 1 1 1 1
2007 01 15    14  2 3 2 2 5 3 2 1    35  0 1 5 5 7 4 3 1    22  2 2 3 2 6 4 3 1
2007 01 16     9  0 4 2 1 2 2 2 3    15  0 3 0 3 4 4 2 4    13  1 5 1 1 2 2 3 3
2007 01 17    15  4 3 2 3 3 2 4 2    43  3 4 5 6 6 4 5 3    26  4 4 4 3 3 3 5 4
2007 01 18     9  1 2 2 2 2 3 2 3    34  2 2 6 6 4 5 2 3    16  3 3 3 3 3 3 3 4
2007 01 19     9  3 4 1 1 2 2 1 2    21  2 3 2 4 5 5 2 2    11  3 4 1 2 2 2 2 2
2007 01 20     6  3 1 2 2 1 1 1 1    11  2 2 2 5 2 1 1 2     7  3 1 2 2 1 1 2 2
2007 01 21     7  2 3 3 2 1 1 1 1    12  1 2 3 5 3 1 1 0     7  2 3 3 2 1 1 1 1
2007 01 22     2  0 0 2 1 1 1 1 0     3  0 0 1 2 2 0 1 1     3  1 0 1 1 1 0 1 1
2007 01 23     3  1 1 0 1 1 3 0 0     1  1 1 0 1 0 0 0 0     2  1 1 0 0 0 0 0 1
2007 01 24     1  0 0 0 0 1 1 0 0     1  0 0 0 1 0 1 0 0     1  0 0 0 0 1 1 0 1
2007 01 25     1  0 0 0 0 0 2 1 0     1  0 0 0 2 0 0 0 0     1  0 0 0 1 0 0 0 1
2007 01 26     3  0 0 1 1 2 2 0 0     3  0 0 2 2 2 0 0 0     2  0 0 1 0 1 0 0 1
2007 01 27     3  0 2 1 0 2 1 1 1     0  0 0 1 0 0 0 0 0     3  1 2 0 0 0 0 0 2
2007 01 28     2  2 1 1 0 1 0 0 1     2  0 0 0 3 1 0 0 0     5  1 1 0 1 1 1 2 2
2007 01 29    19  2 1 2 2 5 5 3 3    41  1 2 4 2 7 6 5 3    36  3 2 3 2 6 7 5 3
2007 01 30    17  4 4 3 2 3 3 3 3    40  2 4 6 6 6 3 3 3    21  4 5 4 3 3 3 3 3
2007 01 31    13  3 3 3 3 2 3 3 2    33  3 3 5 6 5 3 4 3    16  3 3 3 3 3 3 3 3
2007 02 01     7  3 2 2 2 1 1 2 2    20  5 3 3 5 3 1 2 2     8  3 2 3 3 1 1 2 2
2007 02 02     2  0 0 1 0 1 2 0 1     3  1 1 1 2 1 1 1 0     2  1 1 1 0 0 1 1 1
2007 02 03     1  0 2 1 0 0 0 0 0     2  1 1 1 1 0 0 1 0     3  1 2 0 0 1 0 0 1
2007 02 04     2  0 0 2 1 0 1 1 1     3  0 0 2 3 0 0 0 0     2  0 0 1 1 0 0 1 1
2007 02 05     4  1 1 2 1 1 1 1 2     7  0 0 2 2 4 2 1 1     6  1 1 1 1 2 2 2 2
2007 02 06     6  1 2 3 2 1 1 1 1    10  1 3 3 3 3 1 1 2     8  1 3 3 3 1 0 1 1
2007 02 07     8  2 1 2 2 2 2 3 2    18  1 2 3 5 5 2 2 2    10  3 2 3 3 2 2 3 2
2007 02 08     6  2 2 2 2 2 2 1 1    14  3 1 3 5 3 3 1 0     7  2 3 2 2 1 2 1 1
2007 02 09     3  1 2 2 1 0 1 1 0     4  2 1 1 3 1 1 0 0     4  1 2 2 1 0 0 1 1
2007 02 10     2  2 1 0 0 0 1 0 1     4  1 2 0 2 0 2 1 1     3  1 1 0 0 0 1 1 1
