:Product: Daily Geomagnetic Data     2008_DGD.txt
:Issued: 1800 UT 07 Jan 2009
#
#  Prepared by the U.S. Dept. of Commerce, NOAA, Space Weather Prediction Center
#  Please send comment and suggestions to SWPC.Webmaster@noaa.gov
#
#                         2008 Daily Geomagnetic Data
#
#                 Middle Latitude        High Latitude            Estimated
#               - Fredericksburg -     ---- College ----      --- Planetary ---
#   Date        A     K-indices        A     K-indices        A     K-indices
#------------------------------------------------------------------------------
2008 01 01     2  1 1 0 0 0 1 1 0     2  1 0 1 1 1 0 0 0     3  1 1 0 0 1 1 0 1
2008 01 02     1  0 0 0 0 0 1 1 0     0  0 0 0 1 0 0 0 0     1  0 0 0 0 0 0 0 0
2008 01 03     1  0 0 0 0 0 1 1 0     1  0 0 1 1 0 0 0 0     1  0 0 0 0 0 0 0 0
2008 01 04     2  0 0 0 1 1 1 1 2     1  0 0 0 2 0 0 0 1     2  0 0 0 0 0 1 0 2
2008 01 05    13  2 2 3 3 3 2 2 4    29  1 2 3 5 6 5 3 3    18  2 2 4 4 4 4 3 4
2008 01 06    12  2 4 2 2 2 3 3 2    21  3 2 3 4 5 4 3 3    13  2 4 2 2 3 3 3 3
2008 01 07    10  4 3 2 2 2 1 1 2    23  3 3 3 6 5 1 0 2    12  4 4 2 3 3 0 1 2
2008 01 08    11  3 2 2 3 1 3 3 2    16  1 2 3 4 3 4 4 2    13  2 3 2 2 1 4 4 2
2008 01 09     6  3 1 2 1 1 1 2 1     9  3 2 3 3 3 1 1 1     6  3 2 2 1 1 0 1 1
2008 01 10     2  2 0 1 0 1 1 1 0     2  0 0 0 2 2 0 1 0     3  2 0 0 1 1 1 0 1
2008 01 11     2  1 1 1 2 0 0 1 0     1  0 0 0 2 0 0 1 0     2  1 0 1 1 0 0 1 1
2008 01 12     4  0 0 1 1 1 3 2 1    11  0 0 1 3 2 5 3 1     9  0 0 1 1 2 4 3 2
2008 01 13     9  3 2 1 1 3 3 2 1    24  1 1 1 3 6 5 4 3    11  3 2 2 1 3 3 3 2
2008 01 14    14  3 2 2 4 3 2 3 3    30  2 2 4 6 4 5 4 3    16  3 3 3 4 3 3 3 3
2008 01 15     7  3 2 2 1 2 2 1 1    19  3 2 3 5 5 3 0 1     8  3 2 2 2 3 2 0 2
2008 01 16     9  3 2 2 2 2 2 1 3    22  2 2 4 5 5 3 2 3    11  3 3 3 3 2 2 2 3
2008 01 17     7  2 1 1 1 2 2 2 3    16  3 1 2 4 5 3 2 1    10  3 1 1 2 2 2 2 3
2008 01 18    10  3 3 3 2 2 2 2 1    20  3 2 3 3 5 5 2 1    10  3 3 3 1 2 3 2 2
2008 01 19     6  1 1 2 2 2 3 1 1    28  1 1 5 6 5 4 2 2     9  1 1 3 3 3 3 1 2
2008 01 20     4  0 2 2 1 2 1 1 1     5  0 2 2 2 2 0 1 2     6  1 3 2 1 2 1 2 2
2008 01 21     3  0 1 1 1 1 1 2 1     6  0 1 2 3 3 1 2 0     4  1 1 1 1 1 1 1 1
2008 01 22     2  0 1 0 0 0 1 1 1     0  0 0 0 0 0 1 0 0     2  0 1 0 0 0 1 0 1
2008 01 23     3  0 0 1 1 2 2 1 1     1  0 0 0 0 0 0 1 1     3  0 0 1 0 0 1 1 2
2008 01 24     3  2 1 1 1 1 1 1 0     4  0 0 2 2 3 1 1 0     5  1 1 2 1 2 1 2 2
2008 01 25     8  2 3 3 2 1 1 2 1     8  1 3 3 3 1 1 1 2    11  2 4 3 2 1 1 3 2
2008 01 26     6  3 2 1 2 1 2 0 1     8  2 1 1 4 3 1 2 0     5  2 2 1 2 2 1 1 1
2008 01 27     2  1 0 0 0 0 1 1 1     1  0 0 0 0 1 1 1 1     2  1 0 0 0 0 1 1 2
2008 01 28     2  0 1 0 1 1 1 1 1     4  0 0 0 3 2 0 1 1     2  1 1 0 1 0 0 0 2
2008 01 29     3  1 2 2 1 1 0 0 0     3  1 2 2 2 1 0 0 0     4  1 2 1 2 1 0 0 0
2008 01 30     1  0 1 0 0 0 1 0 0     1  1 2 0 0 0 0 0 0     2  1 2 0 0 0 0 0 1
2008 01 31     3  0 0 0 0 1 2 2 2     2  0 0 0 0 0 1 2 2     5  0 0 0 0 1 2 3 3
2008 02 01    10  2 2 3 2 2 2 3 3    25  3 2 2 5 3 5 5 3    18  3 2 3 3 2 4 5 4
2008 02 02    19  5 5 2 2 3 2 3 2    28  4 4 4 4 6 2 3 3    19  4 5 3 2 3 2 3 3
2008 02 03    10  3 2 2 3 2 2 3 2    35  3 2 5 6 5 5 3 3    12  3 2 3 3 2 3 3 2
2008 02 04     6  3 2 1 2 2 1 1 1    10  3 2 2 4 2 2 1 1     6  3 2 1 2 1 1 1 1
2008 02 05     2  2 1 0 0 1 0 1 0     3  1 1 0 0 2 2 0 1     3  2 1 0 0 1 1 1 1
2008 02 06     2  0 0 1 0 1 1 1 1     3  0 0 0 0 1 2 2 1     4  0 0 0 0 1 1 3 2
2008 02 07     6  3 2 0 0 1 2 1 3     5  2 2 0 0 0 3 1 2     5  2 2 0 0 0 2 0 2
2008 02 08     3  1 1 1 0 1 0 1 2     2  2 0 1 1 0 0 1 1     4  2 0 1 1 1 0 1 2
2008 02 09     2  0 0 0 0 1 1 1 1     5  0 0 0 1 4 2 1 1     2  1 0 0 0 2 0 1 1
2008 02 10    13  1 2 3 3 3 3 3 3    42  0 2 3 5 7 6 4 3    18  0 2 3 2 4 5 3 3
2008 02 11    16  3 4 3 4 4 2 1 2    31  2 3 4 6 6 4 2 2    17  4 3 2 4 4 3 2 2
2008 02 12     6  2 2 2 2 2 2 1 1    22  1 2 3 6 5 3 2 1    11  2 3 3 3 3 3 2 2
2008 02 13    10  3 3 3 2 3 2 1 1    26  1 1 4 5 6 4 3 1    12  2 2 3 2 4 3 2 2
2008 02 14    10  2 2 1 2 2 1 4 3    16  2 1 3 3 5 2 3 3    15  2 1 2 1 3 1 5 4
2008 02 15     8  2 3 3 2 2 1 1 1    26  1 2 3 6 6 3 2 1    10  2 3 3 3 3 2 1 1
2008 02 16     8  3 3 2 2 2 1 2 0    12  1 2 3 4 4 2 2 1     9  3 3 2 2 3 2 2 1
2008 02 17     3  0 2 1 1 1 1 1 0     6  0 2 2 3 3 0 0 0     5  1 1 2 2 2 1 1 1
2008 02 18     9  1 1 1 3 3 2 2 3    27  0 0 2 5 6 5 3 3    12  1 1 2 4 3 3 3 3
2008 02 19    10  3 3 3 2 2 2 2 1    29  2 3 5 5 6 4 2 1    12  3 3 3 2 3 2 2 2
