:Product: Daily Geomagnetic Data     2011_DGD.txt
:Issued: 1900 UT 05 Jan 2011
#
#  Prepared by the U.S. Dept. of Commerce, NOAA, Space Weather Prediction Center
#  Please send comment and suggestions to SWPC.Webmaster@noaa.gov
#
#                   2011 Daily Geomagnetic Data
#

                 Middle Latitude        High Latitude            Estimated
               - Fredericksburg -     ---- College ----      --- Planetary ---
   Date        A     K-indices        A     K-indices        A     K-indices
2011 01 01     2  1 1 0 1 1 1 0 1     5  0 0 0 3 3 2 0 0     3  0 0 0 1 1 1 1 2
2011 01 02     3  1 1 0 1 1 2 1 1     2  0 0 0 1 1 2 1 0     3  1 1 0 0 1 1 0 1
2011 01 03     3  0 1 0 1 2 1 1 1     3  0 0 0 2 2 2 0 1     4  0 0 0 0 1 2 2 2
2011 01 04     3  1 2 1 1 1 1 1 0     5  0 1 1 3 2 2 1 0     4  1 2 1 1 1 1 1 0
2011 01 05     2  0 0 0 1 1 1 1 0     2  0 0 0 1 2 1 0 0     2  0 0 0 1 1 0 0 0
2011 01 06     9  2 0 0 0 1 1 2 5     3  0 0 0 0 0 1 1 3     8  1 1 0 0 0 1 1 5
2011 01 07    10  4 2 2 2 1 1 2 3    13  3 2 3 3 4 2 2 2    11  4 2 2 2 2 1 2 3
2011 01 08     6  2 1 2 2 2 2 1 2    15  2 2 2 5 3 3 3 2     7  2 2 1 2 2 2 1 2
2011 01 09     4  0 2 1 0 1 2 1 2     6  1 1 0 2 2 3 2 2     5  1 2 0 0 1 2 2 2
2011 01 10     4  3 1 1 1 1 0 1 0     7  2 1 3 3 3 0 1 0     5  3 1 1 1 1 0 1 1
2011 01 11     5  0 2 0 2 2 2 1 2     7  0 1 0 0 3 4 2 1     5  1 2 0 0 2 2 2 3
2011 01 12     5  1 2 1 2 1 1 2 1     5  1 1 1 3 3 0 1 0     6  2 2 1 2 1 1 1 1
2011 01 13     4  2 1 0 0 2 1 2 2     7  0 1 0 1 3 3 2 3     6  2 1 0 0 1 2 2 3
2011 01 14     6  2 1 2 2 2 2 1 1    13  1 1 4 2 4 4 2 1     7  1 2 2 1 2 3 1 2
2011 01 15     2  0 2 1 1 2 1 1 0     6  0 1 1 2 4 2 0 0     5  1 2 1 1 2 1 1 1
