:Product: Daily Geomagnetic Data     1996_DGD.txt
:Issued: 1428 UT 22 Jul 1997
#
#  Prepared by the U.S. Dept. of Commerce, NOAA, Space Environment Center.
#  Please send comment and suggestions to sec@sec.noaa.gov
#
#                        1996 Daily Geomagnetic Data
#
#                 Middle Latitude        High Latitude            Estimated
#               - Fredericksburg -     ---- College ----      --- Planetary ---
#   Date        A     K-indices        A     K-indices        A     K-indices
#------------------------------------------------------------------------------
01 Jan 96       5  2-0-0-1-2-2-2-2     4  *-*-*-*-3-1-0-1     3  0-0-1-1-1-2-2-1
02 Jan 96       7  1-0-1-1-2-3-2-3     5  *-*-1-*-3-2-2-2     4  1-0-0-0-1-2-2-3
03 Jan 96       8  3-1-2-2-3-2-1-1     *  2-1-2-3-5-2-0-1     6  3-0-1-2-3-1-2-2
04 Jan 96       4  0-0-1-2-2-2-2-1     *  *-0-*-*-4-1-0-1     3  1-0-0-2-2-1-1-1
05 Jan 96       7  2-1-2-2-2-2-2-2     *  *-*-*-*-*-1-1-0     5  2-1-2-1-2-2-2-2
06 Jan 96       8  2-3-1-1-2-2-3-2     *  0-0-*-*-*-*-0-*     4  2-2-1-0-1-1-1-1
07 Jan 96       5  1-1-2-1-1-2-2-2     0  0-0-1-0-0-0-0-1     3  0-1-1-0-1-0-1-2
08 Jan 96       3  2-1-1-1-0-1-1-1     0  0-0-0-1-0-0-0-0     2  0-1-0-0-1-1-0-2
09 Jan 96       2  1-0-0-1-1-1-1-1     1  0-0-*-1-2-0-0-0     1  0-0-0-0-1-0-1-1
10 Jan 96       3  2-0-0-0-2-2-1-1     1  *-*-*-1-*-0-0-1     1  1-0-0-0-0-0-1-1
11 Jan 96       4  1-0-1-1-1-1-2-2     2  *-0-*-*-*-*-0-2     3  0-0-1-1-0-0-1-2
12 Jan 96      10  2-1-1-2-2-2-3-4     3  *-*-*-*-2-2-0-1     4  1-0-0-2-1-1-1-3
13 Jan 96      28  4-5-4-5-4-4-3-2    38  2-4-6-5-5-6-3-1    35  3-5-5-6-5-5-2-1
14 Jan 96      24  2-1-2-5-5-3-3-5    34  0-1-3-7-5-4-3-4    23  2-2-3-6-4-3-3-4
15 Jan 96      15  5-3-2-2-3-2-2-3    19  4-2-3-4-5-3-2-2    12  4-3-2-3-3-2-2-3
16 Jan 96       8  3-1-2-2-2-2-2-2     6  *-1-*-*-2-2-2-2     6  3-0-2-2-2-2-1-2
17 Jan 96      12  2-3-2-2-2-2-4-3     *  *-*-*-2-*-*-*-2     8  2-2-2-2-2-2-3-2
18 Jan 96       8  2-3-2-2-1-2-3-1     *  *-3-*-*-*-3-2-1     8  1-3-2-2-2-3-2-1
