:Product: Daily Geomagnetic Data     1998_DGD.txt
:Issued: 2239 UT 19 Jan 1999
#
#  Prepared by the U.S. Dept. of Commerce, NOAA, Space Environment Center.
#  Please send comment and suggestions to sec@sec.noaa.gov
#
#                       1998 Daily Geomagnetic Data
#
#                 Middle Latitude        High Latitude            Estimated
#               - Fredericksburg -     ---- College ----      --- Planetary ---
#   Date        A     K-indices        A     K-indices        A     K-indices
#------------------------------------------------------------------------------
1998 01 01     5  1 1 3 1 1 1 1 1     1  0 0 3 0 0 0 0 0     5  1 1 3 2 1 1 1 1
1998 01 02     6  1 2 2 1 2 2 1 2     2  0 0 1 0 3 0 0 0     4  1 1 2 0 2 2 1 1
1998 01 03     4  0 1 2 2 2 1 1 1     5  0 0 2 4 1 0 0 0     4  0 0 2 2 2 2 1 0
1998 01 04     3  0 0 0 1 2 1 2 0     3  0 0 0 1 4 0 0 0     4  0 0 0 0 3 2 1 1
1998 01 05     4  1 0 0 1 2 2 2 1     1  0 0 0 1 0 1 1 0     2  0 0 0 1 1 2 1 1
1998 01 06    16  3 3 2 1 3 4 3 4     9  0 1 1 0 2 5 2 2    14  3 3 1 0 3 4 3 3
1998 01 07    19  4 5 4 4 2 2 2 1    -1  4 4 5 6 3-1 0 0    29  5 6 4 5 3 1 1 1
1998 01 08     7  0 0 2 2 2 3 2 3     9  0 0 0 3 4 3 1 2     7  0 0 1 2 2 2 3 3
1998 01 09     9  2 1 2 3 3 3 2 1     9  0 0 3 4 4 1 0 0     9  2 1 3 3 3 3 1 1
1998 01 10     7  2 2 2 1 3 2 1 1     8  0 0 2 5 1 2 0 0     6  1 2 2 2 3 2 2 1
1998 01 11     7  2 2 2 1 3 2 1 1     5  0 0 3 0 4 1 0 0     6  2 2 3 2 3 2 1 2
1998 01 12     5  1 2 2 2 1 1 2 1    -1  0 0 3 2-1 0 0 0     4  1 1 2 2 1 1 2 0
1998 01 13     5  1 0 1 1 2 3 2 1     2  0 0 0 2 2 1 0 0     3  0 0 1 1 2 2 2 0
1998 01 14     3  2 1 1 2 1 0 0 1     2  0 0 0 3 0 0 0 0     4  2 0 0 3 3 1 0 0
1998 01 15     2  0 0 1 2 1 1 0 1     1  0 0 1 2 0 0 0 0     3  0 0 1 2 1 1 1 1
1998 01 16     5  1 0 0 1 2 2 2 3    13  0 3 0 2 4 4 3 2     8  1 1 0 1 2 3 3 3
1998 01 17     4  1 1 2 0 1 1 2 1     6  1 1 1 2 2 3 1 1     5  1 1 2 1 1 2 2 2
1998 01 18     6  0 1 3 1 3 2 1 0    19  0 1 5 3 6 1 1 0     9  1 1 3 3 4 2 2 1
1998 01 19     4  1 0 1 1 2 2 2 1     2  0 0 0 2 1 0 1 1     4  0 0 1 1 2 1 2 1
1998 01 20     8  1 3 1 1 2 3 2 2    16  1 1 1 2 4 5 4 2    11  1 3 1 1 2 4 3 3
1998 01 21     6  3 2 3 1 1 0 1 1     7  2 3 4 1 0 0 0 0     8  3 2 4 1 1 1 1 1
1998 01 22     3  1 0 0 0 1 1 2 2     3  0 0 0 0 1 2 2 2     4  1 0 0 0 1 2 2 2
1998 01 23     3  1 1 1 1 1 1 0 1     5  0 1 2 2 3 0-1-1     3  0 1 1 2 2 1 1 1
1998 01 24     2  0 1 1 1 1 0 1 1    -1 -1-1-1-1-1-1-1-1     4  0 1 2 1 1 2 2 2
1998 01 25     7  2 4 0 1 2 2 2 1    -1 -1-1-1-1-1-1-1-1     9  1 4 1 0 2 3 3 1
1998 01 26     2  0 0 1 1 1 0 1 1    -1 -1-1-1-1-1-1-1 0     3  0 0 1 1 1 2 2 1
1998 01 27     4  0 2 2 2 1 1 1 0    14  1 1 4 5 3 2 1 1     6  1 1 3 3 2 2 2 1
1998 01 28     2  0 0 1 0 0 1 1 1     0  0 0 0 0 0 0 0 1     2  0 0 0 0 0 2 2 1
1998 01 29     6  0 2 0 1 3 2 1 3    10  0 1 1 1 4 4 1 2     8  1 2 2 1 3 3 2 3
1998 01 30    12  2 4 4 2 2 2 1 2    28  3 3 4 6 5 4 2 1    19  3 5 4 4 4 3 2 2
1998 01 31     8  1 1 1 1 0 2 4 3    17  2 1 0 2 5 3 5 2     9  1 1 1 1 1 3 4 3
1998 02 01    10  2 3 3 4 1 0 2 2     8  1 1 2 4 0 0 3 1     7  1 2 3 3 1 1 2 2
1998 02 02     2  1 1 1 1 0 0 1 1     0  0 1 0 0 0 0 0 0     3  1 0 1 0 1 1 0 1
1998 02 03     4  0 0 0 0 3 2 0 2     4  2 0 0 0 1 3 1 0     3  0 0 0 0 2 2 1 2
1998 02 04     6  3 2 1 2 2 1 1 0    -1  2 2 3 4 5-1-1 0     8  3 3 2 2 3 2 1 1
1998 02 05     3  0 2 0 0 2 2 1 1     0  0 1 0 0 0 0 0 0     3  0 1 0 0 1 2 1 1
1998 02 06     2  1 1 0 0 2 0 0 0     1  0 0 0 0 2 1 0 0     3  1 1 0 0 1 2 1 0
