:Product: Daily Geomagnetic Data     2003_DGD.txt
:Issued: 1800 UT 07 Jan 2004
#
#  Prepared by the U.S. Dept. of Commerce, NOAA, Space Environment Center.
#  Please send comment and suggestions to sec.webmaster@noaa.gov
#
#                         2003 Daily Geomagnetic Data
#
#                Middle Latitude        High Latitude            Estimated
#              - Fredericksburg -     ---- College ----      --- Planetary ---
#  Date        A     K-indices        A     K-indices        A     K-indices
#------------------------------------------------------------------------------
2003 01 01     9  4 1 3 1 3 1 1 1     8  0 0 3 3 4 1 1 1    10  2 2 3 3 3 3 2 2
2003 01 02     5  1 1 1 2 2 2 2 1     9  1 1 1 3 3 3 1 1     8  2 2 2 2 3 3 3 1
2003 01 03    12  2 2 2 2 3 4 2 3    23  1 1 2 2 4 6 4 4    13  2 2 2 2 3 4 3 4
2003 01 04     9  3 2 2 2 3 2 2 2    20  4 3 1 4 5 3 3 2    13  4 4 2 2 3 3 3 2
2003 01 05     5  1 1 1 1 2 2 2 2     7  1 1 1 1 3 3 2 2     9  2 2 2 2 3 3 3 2
2003 01 06     2  0 0 0 0 1 2 1 1     1  1 0 0 1 0 0 0 1     7  0 2 1 1 2 3 2 2
2003 01 07     5  1 2 2 1 1 2 1 1     7  2 1 1 4 2 1 1 1     9  2 3 2 3 2 2 3 2
2003 01 08     4  2 0 3 1 1 1 0 0     2  1 0 2 2 0 0 0 0     7  2 2 3 2 2 2 2 2
2003 01 09     2  0 0 0 0 1 1 2 1     1  0 0 0 0 0 1 1 0     7  2 2 1 1 2 3 3 3
2003 01 10     7  1 2 1 2 2 2 2 3    15  1 1 2 3 5 3 3 3    10  2 2 2 2 3 3 3 3
2003 01 11     9  4 4 0 0 1 1 2 2     7  3 3 1 1 2 1 2 2    10  3 3 1 1 2 3 3 3
2003 01 12     4  1 1 2 1 1 1 1 1    14  1 2 5 3 3 2 3 1    11  2 2 3 3 3 3 3 2
2003 01 13     5  2 1 1 1 1 1 1 3     8  3 3 2 3 1 1 1 1     8  3 2 1 2 3 3 2 2
2003 01 14     7  3 2 2 2 2 1 1 1    11  3 3 3 4 3 1 0 0    10  3 3 3 3 3 3 2 1
2003 01 15     7  2 1 1 2 2 2 3 2     5  1 1 1 3 2 2 1 0     8  3 2 2 2 3 3 2 2
2003 01 16     4  3 0 1 1 2 1 1 1     8  1 0 1 4 4 1 1 1     7  2 2 1 2 3 3 2 2
2003 01 17     4  1 1 1 2 2 2 0 0     7  0 1 2 4 2 2 1 0     8  2 2 2 3 3 3 2 1
2003 01 18     9  1 1 3 3 3 2 2 2    26  1 1 3 5 6 4 2 4    12  2 2 3 3 4 3 2 2
2003 01 19     9  1 1 2 3 3 3 2 2    53  1 5 4 6 6 7 4 3    16  2 2 3 4 4 4 3 3
2003 01 20    12  4 4 2 2 2 2 2 2    32  5 6 2 5 4 4 3 2    17  5 4 2 3 3 3 3 2
2003 01 21     9  3 3 2 2 2 2 2 2    31  3 3 5 6 5 4 2 2    17  3 3 3 4 3 3 3 3
2003 01 22    14  3 3 2 2 2 2 2 5    24  3 4 3 5 4 4 3 3    17  3 3 3 3 3 3 3 5
2003 01 23    16  5 4 1 2 3 3 2 2    28  4 3 1 4 6 4 4 3    19  5 4 1 3 3 3 3 3
2003 01 24    13  4 1 2 2 3 3 3 3    35  3 2 3 5 5 6 5 3    15  4 2 2 3 3 4 3 3
2003 01 25    19  4 4 5 3 3 2 1 2    83  3 5 8 7 7 5 3 3    28  4 4 5 5 4 3 2 2
2003 01 26    12  4 3 3 2 2 1 1 3    39  3 2 6 6 6 4 2 3    17  4 3 4 4 4 3 3 2
2003 01 27     5  2 2 0 0 0 2 2 3     5  2 2 0 0 0 1 3 2     8  3 2 1 1 2 3 2 3
2003 01 28     9  2 4 2 2 2 1 2 1    17  4 3 5 4 2 1 1 1    12  3 3 4 3 2 3 2 2
2003 01 29     9  1 1 1 2 3 2 3 3    25  2 1 1 5 6 4 3 3    14  2 2 2 3 3 4 4 4
2003 01 30    18  5 3 3 3 3 4 2 1    45  4 3 4 6 6 6 5 1    26  5 4 4 4 4 5 4 2
2003 01 31    11  2 2 3 4 3 1 1 1    29  2 3 4 6 5 5 2 1    18  3 2 4 5 4 3 2 1
2003 02 01    10  3 1 1 1 2 2 4 3    21  1 1 1 2 4 4 5 5    13  3 2 1 2 2 2 5 4
2003 02 02    29  6 4 4 4 3 4 3 3    58  5 4 4 6 7 6 5 3    45  5 5 5 5 6 5 4 4
2003 02 03    16  5 2 3 3 2 2 3 3    27  3 3 4 4 5 4 5 2    19  4 3 4 3 4 4 3 3
2003 02 04    14  2 4 4 3 2 2 3 2    32  3 4 6 5 4 3 4 3    24  3 4 5 5 3 3 3 3
2003 02 05     7  3 2 2 1 2 2 1 1    21  3 2 1 5 5 4 3 1    12  3 3 2 2 4 4 2 2
2003 02 06     8  1 1 2 3 3 2 2 2    30  1 1 3 5 5 5 5 4    16  2 3 3 3 4 3 4 3
