:Product: Daily Geomagnetic Data     2006_DGD.txt
:Issued: 1800 UT 07 Jan 2007
#
#  Prepared by the U.S. Dept. of Commerce, NOAA, Space Environment Center.
#  Please send comment and suggestions to SEC.Webmaster@noaa.gov
# 
#                         2006 Daily Geomagnetic Data
#
#                Middle Latitude        High Latitude            Estimated
#              - Fredericksburg -     ---- College ----      --- Planetary ---
#  Date        A     K-indices        A     K-indices        A     K-indices
#------------------------------------------------------------------------------
2006 01 01     5  2 1 1 1 2 2 1 1     3  2 1 1 0 1 1 1 1     4  2 1 0 0 2 1 1 1
2006 01 02     5  2 2 1 2 1 1 1 2     3  0 1 0 2 0 0 1 2     5  1 2 1 2 1 1 1 2
2006 01 03     3  2 1 0 0 1 2 1 0     2  0 0 0 1 2 2 0 0     3  2 0 0 0 1 1 1 1
2006 01 04     1  0 1 0 0 1 1 0 0     0  0 0 0 0 0 0 0 0     2  0 1 0 0 0 0 0 0
2006 01 05     3  0 0 2 2 1 1 0 1     2  0 0 1 2 1 0 0 0     3  0 0 1 2 2 0 0 1
2006 01 06     6  1 3 1 1 2 2 1 1    15  0 1 4 4 5 3 1 0     6  1 2 2 2 3 2 1 1
2006 01 07     6  1 1 3 2 2 2 1 0     7  1 0 2 2 3 4 0 0     5  1 1 2 2 1 2 1 0
2006 01 08     5  0 0 3 2 2 2 0 0     6  0 0 2 3 3 2 1 0     4  0 1 2 2 2 0 0 1
2006 01 09     1  0 1 0 0 1 0 0 0     0  0 0 0 0 0 0 0 0     2  0 1 0 0 0 0 1 0
2006 01 10     2  0 0 0 0 2 2 0 0     1  1 0 0 1 0 1 0 0     1  0 0 0 0 0 1 0 0
2006 01 11     1  0 0 0 0 2 1 0 0     2  0 0 0 0 3 1 0 0     2  0 0 0 0 1 1 1 1
2006 01 12     2  1 1 1 1 0 2 0 0     1  0 0 1 2 0 0 0 0     3  1 1 1 1 0 0 0 1
2006 01 13     4  1 0 0 0 2 2 3 1     2  0 0 0 0 2 2 1 0     2  1 0 0 0 1 1 0 1
2006 01 14     2  0 0 0 1 2 2 1 0     1  0 0 0 1 0 0 0 1     3  0 1 0 1 1 1 1 1
2006 01 15     4  1 1 0 0 1 2 2 2     1  0 0 0 0 0 1 2 0     4  2 1 0 0 0 2 2 2
2006 01 16     8  0 3 3 2 2 2 2 2    19  0 1 3 5 5 4 2 0    14  0 3 2 2 4 3 4 3
2006 01 17    10  2 4 3 3 2 1 1 1    10  2 1 3 3 4 2 1 0     8  2 3 2 2 2 2 1 1
2006 01 18     9  1 2 3 4 1 2 1 1    -1  0-1-1-1-1 3 1 1     5  2 1 1 2 1 2 1 1
2006 01 19     5  1 1 2 1 2 2 1 2    10  2 3 1 4 3 2 1 1     7  2 1 2 2 3 2 1 2
2006 01 20     4  1 1 1 1 2 1 1 1     7  1 0 1 3 3 2 2 1     6  1 1 0 1 2 3 3 2
2006 01 21     4  1 3 1 1 1 1 0 0     6  1 1 1 4 3 0 0 0     4  1 2 1 1 1 0 0 1
2006 01 22     4  0 1 1 2 2 2 1 1    12  0 0 1 4 4 3 4 0     6  1 1 1 2 3 3 0 2
2006 01 23    13  1 3 3 4 3 2 2 3    27  4 3 3 6 5 3 2 2    15  1 4 3 4 3 2 2 3
2006 01 24     6  2 3 2 1 0 0 3 1    19  5 3 5 3 1 2 3 1     7  3 4 2 0 1 0 1 1
2006 01 25     8  2 0 0 2 1 1 4 3     5  0 0 0 3 0 1 2 3     7  1 1 0 1 1 1 3 3
2006 01 26    15  3 2 1 2 2 4 4 4    36  3 3 4 5 5 6 4 4    29  4 4 2 3 3 6 5 4
2006 01 27     7  3 1 2 2 2 2 2 2    13  3 2 2 4 3 3 2 2     8  3 1 2 2 2 2 2 2
2006 01 28     4  2 1 2 1 1 0 2 1     7  1 1 2 3 3 0 1 1     6  2 1 2 2 1 1 2 2
2006 01 29     1  0 1 0 0 0 0 0 0     2  1 1 1 1 0 0 0 1     3  1 1 1 0 1 1 0 0
2006 01 30     0  0 0 0 0 0 0 0 0     0  0 0 0 0 0 0 0 0     1  1 0 0 0 0 1 0 0
2006 01 31     1  0 0 0 0 1 1 1 0     1  0 0 0 0 1 1 0 0     2  0 0 0 0 1 1 0 1
2006 02 01     3  0 1 2 1 1 1 0 1     3  0 1 2 2 2 0 0 1     4  0 0 2 1 2 1 0 2
2006 02 02     1  1 0 0 1 0 0 1 1     3  0 0 0 3 2 0 1 0     3  1 0 0 1 1 0 1 2
2006 02 03     3  0 0 1 2 0 1 2 1     4  0 0 0 3 2 0 2 1     4  0 0 0 1 0 1 2 1
2006 02 04     3  1 3 1 1 1 0 0 0     6  1 1 2 3 3 1 0 0     4  1 2 2 1 1 0 0 1
2006 02 05     3  1 0 2 0 0 0 2 1     1  0 0 1 0 0 0 1 0     3  1 0 2 0 0 0 1 1
2006 02 06    11  1 3 2 2 3 2 3 3    32  0 2 4 5 7 3 2 3    12  1 4 2 2 3 2 3 3
2006 02 07     4  2 1 1 0 0 2 1 2     3  2 1 2 0 1 1 0 0     4  1 1 1 0 1 1 1 2
2006 02 08     2  2 1 2 0 0 0 0 0     2  0 0 2 2 1 0 0 0     3  2 0 2 1 1 0 0 0
2006 02 09     2  0 0 0 0 1 3 1 0     1  0 0 0 1 1 0 1 0     2  0 0 0 0 1 0 1 1
2006 02 10     2  1 0 0 0 0 0 1 2     1  0 0 0 1 0 0 0 1     2  1 0 0 0 0 0 1 2
2006 02 11     4  2 1 2 0 2 2 1 0     6  1 0 2 1 4 2 1 0     6  2 1 2 0 2 3 1 1
2006 02 12     2  1 1 1 0 1 1 0 0     2  0 2 0 0 2 1 0 0     3  2 2 1 0 1 0 0 0
2006 02 13     2  0 0 0 0 1 2 1 0     1  0 0 0 0 1 1 0 0     2  0 0 0 0 1 1 0 1
2006 02 14     1  0 0 0 0 1 0 0 1     0  0 0 0 0 0 0 0 1     1  0 0 0 0 0 0 0 1
2006 02 15     7  0 1 1 3 2 1 3 3    11  1 0 1 5 3 2 2 2    12  0 1 1 3 2 2 4 4
2006 02 16     7  2 2 2 2 2 2 2 1    17  3 2 5 5 3 0 1 1     8  3 2 3 3 1 0 1 2
2006 02 17     2  0 2 1 1 1 1 0 0     5  0 2 2 1 3 2 0 0     4  1 3 2 0 1 0 0 1
2006 02 18     2  0 0 0 1 2 0 1 1     2  0 1 0 1 2 0 0 0     2  0 0 0 0 1 0 0 1
2006 02 19     5  2 2 2 1 1 1 1 1     6  1 1 3 2 2 1 1 1     6  2 2 2 0 0 1 2 2
2006 02 20     9  1 2 2 3 3 3 2 2    45  2 2 3 6 6 7 3 3    20  2 2 3 4 4 6 2 2
2006 02 21    15  3 3 4 3 3 3 2 2    36  2 2 4 7 5 4 4 2    17  3 4 3 4 3 3 3 2
2006 02 22    11  4 3 3 2 2 2 1 1    25  3 2 3 6 5 4 2 0    12  4 3 3 3 3 2 1 2
2006 02 23     4  1 2 2 1 1 1 1 0     5  1 0 3 3 1 0 0 0     3  1 2 2 1 0 0 0 0
2006 02 24     4  2 1 0 2 2 1 2 0    13  1 0 1 5 5 1 0 0     6  2 2 0 3 3 0 0 0
2006 02 25     1  2 0 0 0 0 0 0 0     0  0 0 0 0 0 0 0 0     1  1 0 0 0 0 0 0 1
2006 02 26     3  0 2 0 0 1 1 1 2     4  0 1 0 0 2 3 1 1     5  0 2 1 0 1 2 1 2
2006 02 27     2  1 0 2 0 1 0 0 1     3  1 1 2 1 2 0 0 0     3  1 1 2 0 1 0 0 2
2006 02 28     2  0 0 0 2 0 1 1 1     7  0 0 0 5 2 0 1 0     5  0 0 0 3 2 1 1 2
2006 03 01     5  2 2 2 2 2 2 0 0    11  1 1 1 3 5 3 0 0     7  2 2 1 2 3 2 1 1
2006 03 02     4  0 1 1 0 3 2 0 1     2  0 0 1 2 2 0 0 0     4  0 1 1 1 1 1 2 1
2006 03 03     2  1 0 0 0 1 1 2 0     1  0 0 0 1 1 0 1 0     4  1 0 0 1 1 2 2 1
2006 03 04     1  0 1 2 0 0 0 0 0     1  1 0 2 0 0 0 0 0     3  0 0 1 0 0 1 0 1
2006 03 05     1  1 0 0 0 0 1 0 0     0  0 0 0 0 0 0 0 0     2  1 0 0 0 1 1 2 1
2006 03 06     8  0 0 1 1 3 3 3 3     8  0 0 0 2 4 3 2 2     8  0 0 1 1 3 3 3 3
2006 03 07     6  3 2 2 1 1 1 1 1    16  3 3 4 5 3 2 0 0    12  4 4 3 3 2 1 0 1
2006 03 08     3  2 1 0 0 2 1 1 0     2  0 0 0 2 2 0 0 1     4  2 1 0 0 1 1 1 2
2006 03 09     3  0 1 0 0 1 2 2 1     1  0 0 0 0 0 1 1 1     4  0 1 0 0 0 2 3 2
2006 03 10     9  1 2 2 2 3 2 2 3    25  1 1 5 5 5 3 2 4    12  1 3 2 3 3 2 2 4
2006 03 11     9  3 2 3 2 1 3 1 1    26  3 2 6 6 2 3 1 1    12  4 3 3 3 1 3 2 1
2006 03 12     3  0 2 1 1 1 1 2 0     4  0 0 2 3 1 1 0 0     6  0 1 2 1 1 2 2 1
2006 03 13     2  0 1 0 1 1 1 1 0     1  1 0 0 2 0 0 0 0     3  0 0 0 1 0 1 2 2
2006 03 14     2  0 0 0 1 1 1 0 1     1  0 0 0 0 2 0 0 1     4  0 0 0 1 2 2 2 2
2006 03 15     6  2 3 1 2 2 1 2 0     7  2 1 1 3 1 1 3 1     7  1 2 1 2 2 2 3 1
2006 03 16     4  0 1 2 2 2 1 1 1    12  1 2 3 5 2 3 1 0     6  1 2 2 2 1 2 1 2
2006 03 17     2  0 1 0 0 1 0 1 1     2  0 0 0 2 1 0 1 1     3  0 0 0 0 1 1 1 1
2006 03 18    15  0 1 3 3 3 3 4 4    39  0 1 4 6 5 6 5 4    26  1 1 4 4 3 5 5 5
2006 03 19    24  6 5 3 2 3 2 3 2    51  4 4 7 6 6 4 3 3    37  6 5 5 4 4 2 4 3
2006 03 20    14  4 3 3 3 1 2 3 3    40  6 5 5 6 3 4 3 2    22  5 4 4 4 2 2 4 3
2006 03 21     8  2 3 1 1 2 3 2 2    28  2 2 2 5 5 6 3 3    13  3 4 1 1 3 3 3 3
2006 03 22     9  2 3 3 1 1 1 2 2    10  2 3 3 4 1 1 1 1    10  3 4 3 1 1 1 2 3
2006 03 23     2  2 1 0 1 0 0 0 1     3  2 2 1 0 0 1 0 1     5  2 2 2 0 0 1 1 1
2006 03 24     2  1 0 0 0 1 1 1 2     2  1 0 0 1 0 1 1 1     4  1 0 0 0 1 1 2 2
2006 03 25     4  1 3 2 0 1 0 2 0     7  2 1 2 3 3 1 1 0     7  2 3 1 1 2 1 2 1
2006 03 26     5  1 2 0 1 2 1 2 2     6  0 0 0 3 3 2 2 1     7  1 1 0 1 2 2 3 3
2006 03 27     8  3 3 0 0 1 3 1 3     5  2 2 0 0 1 3 1 2     9  3 3 0 0 1 2 2 3
2006 03 28     4  0 3 1 0 1 1 1 1     4  1 2 1 0 2 1 1 1     6  1 3 1 0 1 1 2 1
2006 03 29     4  1 1 0 1 2 2 1 1     2  0 1 0 2 0 0 0 1     6  1 2 0 1 2 3 2 2
2006 03 30     2  1 1 0 0 0 1 1 1     2  2 0 0 0 0 0 2 1     4  1 1 0 0 1 2 2 2
2006 03 31     2  0 0 1 1 1 1 2 0     9  2 0 3 3 4 2 0 0     4  1 0 1 2 2 1 2 1
2006 04 01     1  0 0 0 0 1 0 0 1     0  0 0 0 0 0 1 0 0     2  1 0 0 0 1 0 0 1
2006 04 02     1  0 0 0 0 2 0 0 0     0  0 0 0 0 0 0 0 0     1  1 0 0 0 1 0 0 1
2006 04 03     1  0 0 0 0 1 1 0 1     0  0 0 0 0 0 0 0 0     1  0 0 0 0 0 1 0 1
2006 04 04     4  0 0 1 2 1 1 1 3    13  0 0 1 5 4 3 2 2     7  0 0 1 3 2 2 2 3
2006 04 05    18  3 3 4 4 4 3 2 2    43  2 4 6 6 6 5 3 1    29  3 4 4 5 5 4 3 2
2006 04 06     6  1 2 3 1 1 1 1 2    20  1 3 6 4 4 1 0 1    10  1 3 4 2 2 2 1 2
2006 04 07     2  1 0 1 1 0 0 0 1     2  0 1 2 1 1 0 0 1     3  1 0 1 0 0 0 1 1
2006 04 08     3  1 0 0 1 1 1 1 2     7  1 0 0 4 3 2 1 1     5  1 0 1 2 2 1 1 2
2006 04 09    27  3 3 5 4 4 2 4 5    53  3 5 7 6 5 5 3 4    39  4 5 6 4 4 4 5 5
2006 04 10    11  3 4 3 2 2 2 2 1    30  3 4 6 5 5 3 2 1    18  4 5 4 3 2 2 2 1
2006 04 11     3  1 2 0 1 1 0 0 2     5  2 2 1 2 1 1 0 1     5  2 3 0 1 1 1 0 2
2006 04 12     1  0 0 0 0 1 1 0 0     1  0 1 0 0 0 0 1 0     2  0 1 0 0 0 1 1 1
2006 04 13     9  1 2 2 2 3 2 2 3    22  1 2 3 5 6 3 1 2    13  2 2 3 2 4 4 2 3
2006 04 14    32  4 5 5 5 4 4 3 3    64  3 4 7 7 6 6 3 3    58  4 6 7 7 5 5 4 4
2006 04 15    18  3 4 4 3 3 3 3 3    50  3 4 6 7 5 5 4 3    29  3 5 4 4 3 5 4 3
2006 04 16     8  3 3 2 1 2 2 1 1    18  3 2 4 5 4 3 1 1    10  4 3 2 2 2 2 1 2
2006 04 17     4  2 1 0 0 0 0 1 3     5  2 2 1 2 1 1 1 2     6  2 1 1 0 1 2 1 3
2006 04 18     5  3 3 1 0 0 1 0 1     5  3 3 1 1 0 0 1 0     6  3 3 1 1 1 1 1 2
2006 04 19     2  2 0 1 1 1 0 0 1     3  1 1 1 3 0 0 0 0     4  2 0 1 2 0 2 1 1
2006 04 20     3  0 1 0 1 3 1 0 1     9  0 1 1 1 5 3 0 0     5  0 1 1 1 2 2 0 1
2006 04 21     6  1 2 2 1 2 3 1 1     8  1 1 1 2 2 4 2 1     8  1 2 2 1 2 4 2 2
2006 04 22    10  3 3 3 3 2 2 1 1    38  5 4 4 7 5 2 1 1    18  4 4 3 4 3 2 1 1
2006 04 23     8  1 3 4 1 1 1 0 2     6  2 2 3 2 1 1 0 1     8  1 3 3 1 1 2 1 2
2006 04 24     4  3 1 1 1 1 1 0 1     7  2 1 3 4 1 0 0 1     7  3 2 2 1 1 2 1 2
2006 04 25     1  2 0 0 0 1 0 0 0     3  1 1 0 0 3 1 0 0     5  3 0 0 0 2 2 2 1
2006 04 26     2  2 1 1 0 0 0 0 0     3  1 2 2 1 0 0 0 0     5  2 2 1 1 1 1 2 1
2006 04 27     3  1 1 0 1 1 2 0 1     5  1 2 2 1 3 1 0 0     5  2 2 1 1 1 2 1 2
2006 04 28    10  3 2 4 2 2 1 2 1    11  2 3 3 4 3 1 1 1    12  3 3 5 2 1 1 2 2
2006 04 29     2  0 1 0 1 1 1 0 0     0  1 0 0 0 0 0 0 0     3  1 0 0 0 1 2 1 1
2006 04 30     0  0 0 0 0 0 0 0 0     0  0 0 0 0 0 0 0 0     1  0 0 0 0 0 0 0 1
2006 05 01     2  0 0 1 1 0 2 0 0     1  0 0 2 1 0 0 0 0     2  0 0 1 1 0 1 0 1
2006 05 02     4  1 1 1 0 2 1 2 1     2  1 0 1 0 0 1 1 0     4  1 0 1 0 0 1 2 1
2006 05 03     2  2 0 0 0 0 0 1 2     2  2 0 0 0 0 0 1 1     3  1 0 0 0 0 1 1 2
2006 05 04    10  1 1 2 3 3 2 3 3    21  0 1 3 3 6 5 2 1    14  1 1 3 2 5 3 3 3
2006 05 05     8  3 2 3 3 2 0 1 1    21  3 4 5 4 4 3 1 1    13  4 3 4 3 2 2 0 1
2006 05 06    14  2 3 2 2 3 3 4 3    29  1 2 3 3 6 6 3 3    24  2 3 2 2 4 5 5 4
2006 05 07    17  3 4 5 3 3 1 2 2    34  3 4 6 6 5 2 2 2    19  3 4 5 4 3 2 2 3
2006 05 08     5  2 3 2 1 1 0 1 1    11  3 4 3 3 3 0 1 0     8  2 4 3 1 1 1 1 1
2006 05 09     2  0 0 1 1 1 0 1 2     3  1 1 1 2 0 0 1 2     4  0 0 1 2 1 1 1 2
2006 05 10     4  0 0 0 1 1 0 2 3     1  0 0 0 0 0 0 1 2     4  0 0 0 1 1 1 1 3
2006 05 11    21  3 4 3 3 3 5 3 3    23  3 5 5 4 4 2 2 2    18  3 4 4 4 3 2 3 4
2006 05 12    10  3 3 3 2 2 2 2 2    27  4 4 5 5 5 2 2 2    16  4 4 4 2 3 2 2 3
2006 05 13     9  3 3 2 2 2 1 2 2    16  3 3 4 4 4 2 1 1    11  3 4 3 2 2 1 2 2
2006 05 14     6  3 3 1 1 1 1 1 1     9  3 3 2 3 2 1 1 1     8  3 4 2 1 1 1 1 2
2006 05 15     3  1 2 0 0 0 1 2 1     3  1 1 1 2 2 0 1 0     4  1 1 1 1 1 1 1 2
2006 05 16     0  0 0 0 0 1 0 0 1     1  1 0 0 0 1 0 0 0     2  1 0 0 0 1 0 1 1
2006 05 17     4  1 2 1 1 2 1 1 1     4  1 2 1 0 2 2 1 1     5  1 2 1 1 1 1 1 3
2006 05 18    11  2 1 3 2 2 3 4 2    23  1 4 4 4 3 5 4 2    16  2 2 3 2 2 5 4 2
2006 05 19     7  1 2 3 1 1 1 2 3     8  2 3 3 1 2 2 1 1     8  2 2 3 0 1 2 2 3
2006 05 20     5  1 1 2 2 1 1 2 2     9  1 1 3 4 2 1 2 1     7  2 2 2 3 1 2 2 2
2006 05 21     4  2 1 1 1 1 1 2 1     6  3 1 0 2 0 2 2 2     7  3 0 1 2 1 1 3 2
2006 05 22     6  2 1 0 1 2 2 2 3     7  2 2 1 1 3 2 1 2     8  2 2 0 1 2 2 2 4
2006 05 23     4  2 1 1 1 2 1 1 1     5  3 1 1 2 2 1 0 1     7  3 3 2 1 1 1 2 1
2006 05 24     3  1 1 1 1 1 1 1 1     3  0 2 1 2 2 1 0 0     4  1 1 2 1 2 1 0 1
2006 05 25     4  1 1 1 0 2 1 2 2     2  1 1 1 0 0 0 1 1     5  1 1 1 0 1 1 2 2
2006 05 26     1  0 0 0 0 1 1 1 0     3  2 1 0 0 1 1 1 1     5  3 1 0 0 1 1 1 2
2006 05 27     1  1 0 0 1 0 0 0 1     1  1 0 0 0 0 0 0 1     3  2 0 0 0 1 1 1 2
2006 05 28     5  1 2 1 2 1 1 2 2     4  2 2 1 2 2 0 1 0     7  2 2 1 1 2 1 2 3
2006 05 29     1  1 0 0 0 0 1 0 1     1  2 0 0 0 0 0 0 0     3  1 1 0 0 0 1 0 1
2006 05 30     7  1 1 0 2 3 2 3 2    10  1 1 0 4 4 2 2 1     9  2 2 0 2 3 2 3 2
2006 05 31     4  2 1 1 1 2 1 1 1     5  2 2 1 2 1 1 1 1     6  3 2 1 1 1 1 1 2
2006 06 01    10  2 2 2 3 2 2 3 3    15  3 2 3 5 3 2 2 2    13  2 2 2 4 2 2 4 3
2006 06 02     5  2 3 2 1 1 1 1 1     6  3 2 2 2 0 1 1 1     8  3 3 2 1 1 2 2 1
2006 06 03     2  1 1 1 0 1 1 1 1     3  1 1 1 1 1 1 1 1     4  1 1 1 0 1 1 1 1
2006 06 04     1  1 0 0 1 0 0 0 1     1  0 1 1 0 0 0 0 1     2  1 0 0 0 1 1 1 1
2006 06 05     2  1 1 0 0 1 1 1 1     2  1 2 1 0 0 1 1 0     4  1 1 1 0 0 2 1 1
2006 06 06    15  1 2 3 3 3 2 4 4    35  2 2 5 6 4 5 5 3    23  2 2 4 4 3 4 5 4
