:Product: Daily Geomagnetic Data     2009_DGD.txt
:Issued: 2100 UT 07 Jan 2010
#
#  Prepared by the U.S. Dept. of Commerce, NOAA, Space Weather Prediction Center
#  Please send comment and suggestions to SWPC.Webmaster@noaa.gov
#
#                       2009 Daily Geomagnetic Data
#
#                 Middle Latitude        High Latitude            Estimated
#               - Fredericksburg -     ---- College ----      --- Planetary ---
#   Date        A     K-indices        A     K-indices        A     K-indices
#------------------------------------------------------------------------------
2009 01 01     5  1 2 2 2 1 1 1 1    12  1 1 4 4 4 2 0 0     6  1 2 3 3 2 1 0 1
2009 01 02     3  0 1 0 0 1 2 2 2     2  0 0 0 0 1 1 1 2     3  0 1 0 0 1 1 2 2
2009 01 03     8  3 3 2 3 2 1 0 1    15  1 1 2 6 2 3 1 1     9  3 3 2 4 2 2 0 1
2009 01 04     5  2 1 0 2 1 1 1 3     3  1 0 0 2 1 2 1 0     4  2 1 0 1 1 2 1 0
2009 01 05     3  1 1 1 1 1 1 1 0     4  0 0 1 3 1 2 0 0     4  1 1 1 1 1 1 1 2
2009 01 06     2  2 1 0 0 0 1 0 0     5  0 0 0 3 2 3 0 0     3  2 1 0 1 1 1 0 0
2009 01 07     1  0 0 1 0 0 1 1 0     1  0 0 2 1 0 0 0 0     3  0 0 1 0 0 1 1 1
2009 01 08     2  0 0 0 0 2 1 1 1     4  0 0 1 2 3 2 0 0     3  0 0 0 0 2 1 1 1
2009 01 09     4  1 1 1 0 2 2 1 1     5  0 0 2 1 4 1 1 0     4  1 1 1 0 2 1 1 1
2009 01 10     2  2 1 0 1 0 0 0 0     3  1 1 1 3 0 0 1 0     4  2 1 1 1 0 0 1 1
2009 01 11     1  1 0 0 0 0 1 0 0     1  0 0 0 2 0 0 0 0     2  1 0 0 0 0 1 1 1
2009 01 12     0  0 0 0 0 0 0 0 0     0  0 0 0 0 0 0 0 0     0  0 0 0 0 0 0 0 0
2009 01 13     2  0 1 1 0 1 1 1 1     1  0 0 0 0 1 1 0 0     3  1 1 1 0 1 1 0 1
2009 01 14     6  2 2 2 2 2 1 1 1     8  1 0 0 4 4 1 0 0     5  2 2 1 2 2 1 0 2
2009 01 15     4  1 1 1 1 1 2 2 1     5  0 1 1 3 2 0 2 1     4  1 1 2 1 0 1 2 2
2009 01 16     2  1 1 0 0 1 1 1 0     1  1 1 0 0 1 0 1 0     2  2 1 0 0 0 0 1 0
2009 01 17     2  0 1 1 0 0 1 1 0     1  0 0 0 1 1 0 1 0     2  0 1 1 0 0 1 1 1
2009 01 18     2  1 0 0 0 0 1 1 1     1  0 0 0 1 1 0 0 0     2  0 0 0 0 0 0 1 1
2009 01 19     7  4 2 2 0 1 1 1 2     4  2 1 2 2 0 1 0 1     9  4 2 2 0 1 1 2 2
2009 01 20     1  1 0 1 0 0 0 1 0     1  2 1 0 0 0 0 0 0     3  2 0 0 0 0 0 1 1
2009 01 21     2  0 0 0 1 0 2 1 0     2  0 0 0 2 1 1 0 0     2  0 0 0 1 0 1 1 1
2009 01 22     0  0 0 0 0 0 0 1 0     0  0 0 0 1 0 0 0 0     1  0 0 0 0 0 0 0 1
2009 01 23     1  0 0 1 0 1 0 0 0     0  0 0 0 0 0 0 0 0     1  0 0 0 0 0 0 0 1
2009 01 24     1  1 1 0 0 0 0 0 1     0  0 0 0 0 0 0 0 0     1  1 0 0 0 0 0 0 1
2009 01 25     1  0 0 0 0 0 0 0 2     1  0 0 0 0 2 0 0 0     1  0 0 0 0 0 0 0 2
2009 01 26     9  3 2 2 2 3 2 2 1    22  1 0 2 4 6 5 2 0    10  3 2 2 2 3 3 2 0
2009 01 27     2  0 1 0 0 1 2 1 1     2  0 1 0 0 1 1 1 1     4  0 1 0 0 1 1 2 2
2009 01 28     1  0 0 0 2 0 0 1 0     0  0 0 0 1 0 0 0 0     2  0 0 0 1 1 1 0 1
2009 01 29     3  0 2 2 1 1 0 0 0     3  0 0 2 3 0 0 0 0     4  0 2 2 1 1 1 0 1
2009 01 30     3  0 1 1 2 0 0 1 2     1  0 0 0 1 0 0 0 1     4  0 1 0 1 1 1 1 2
2009 01 31     4  1 1 2 1 2 1 1 1     9  1 0 3 3 4 2 1 1     7  1 1 2 2 2 2 1 2
2009 02 01     1  0 2 1 0 0 0 0 0     1  0 1 0 1 0 0 0 0     3  1 2 0 1 1 1 0 1
2009 02 02     0  0 0 0 0 0 0 0 0     0  0 0 0 0 0 0 0 0     2  0 0 0 0 1 1 1 1
2009 02 03     2  0 0 0 0 0 0 2 2     1  0 0 0 0 0 0 1 2     4  0 0 0 0 0 0 1 3
2009 02 04    10  2 1 2 4 3 2 2 1    36  2 0 2 6 6 6 4 2    16  4 1 2 4 3 3 4 2
2009 02 05     6  4 2 1 1 2 0 0 1     4  2 1 1 3 1 0 0 0     7  4 1 1 1 1 1 0 2
2009 02 06     1  2 0 0 0 0 0 0 0     0  1 0 0 0 0 0 0 0     2  1 0 0 0 0 0 1 1
2009 02 07     1  0 2 0 0 0 0 0 0     1  0 0 1 0 1 1 0 0     3  1 2 0 0 1 1 1 1
2009 02 08     0  0 0 0 0 0 0 0 0     0  0 0 0 1 0 0 0 0     4  0 0 0 0 1 2 2 1
2009 02 09     0  0 0 0 0 0 0 0 0     0  0 0 0 0 0 0 0 1     4  1 0 0 0 1 2 2 2
2009 02 10     0  0 0 0 0 0 1 0 0     0  0 0 0 1 0 0 0 0     3  1 0 0 0 0 2 1 1
2009 02 11     2  1 0 1 0 1 0 1 1     1  0 0 1 1 0 0 1 0     5  2 0 1 1 1 2 2 2
2009 02 12     1  0 0 0 0 1 1 0 0     4  1 1 0 2 3 1 0 0     4  1 0 0 1 2 2 1 1
2009 02 13     2  0 0 0 0 1 1 1 1     0  0 0 0 0 0 1 0 0     3  0 0 0 0 1 2 1 1
2009 02 14     9  1 2 3 3 3 2 1 2    25  0 0 4 5 6 4 1 3    14  1 2 3 3 4 3 2 3
2009 02 15     6  2 3 1 1 2 1 1 1    22  1 2 3 5 6 3 1 1    10  2 4 1 2 3 2 2 2
2009 02 16     2  2 0 0 0 1 1 1 0     2  1 0 0 1 1 1 1 1     3  1 0 0 1 1 1 0 1
2009 02 17     1  0 0 0 0 0 0 1 1     0  0 0 0 0 0 0 0 1     1  1 0 0 0 1 0 0 1
2009 02 18     1  1 0 0 0 0 0 0 1     1  1 0 0 0 0 0 1 0     2  2 0 0 0 0 0 1 1
2009 02 19     0  0 0 0 0 0 1 0 0     0  0 0 0 0 0 1 0 0     1  0 0 0 0 0 1 0 1
2009 02 20     3  1 1 0 0 1 1 2 1     3  0 1 0 1 1 0 1 2     3  1 1 0 0 1 0 1 2
2009 02 21     2  0 0 0 1 1 1 1 1     3  1 0 0 3 2 0 0 0     3  0 0 0 1 1 0 1 1
2009 02 22     3  0 0 2 2 1 0 1 1     4  0 0 2 3 2 0 0 0     3  0 0 2 2 1 0 0 1
2009 02 23     3  1 0 0 0 2 2 1 2     5  0 0 0 2 3 3 1 0     5  1 0 0 0 2 3 2 2
2009 02 24     6  1 3 3 1 1 1 0 1     5  1 1 3 2 2 1 0 0     6  2 3 2 1 1 1 0 1
2009 02 25     2  1 1 1 1 1 0 1 0     2  1 0 0 3 0 0 0 0     3  1 1 0 1 1 1 0 0
2009 02 26     2  1 1 0 0 1 0 0 1     0  0 0 0 0 0 0 0 1     2  1 1 0 0 0 0 1 2
2009 02 27     7  1 1 2 3 3 1 2 1    20  1 0 3 5 6 2 2 1     8  1 1 2 3 3 2 2 2
2009 02 28     4  3 2 2 0 0 0 1 1     3  1 2 2 1 0 0 1 0     5  3 2 2 0 0 0 1 2
2009 03 01     2  2 1 1 0 1 0 0 0     1  0 1 1 0 0 0 0 0     3  1 1 0 0 0 0 1 1
2009 03 02     0  0 0 0 0 0 1 0 0     0  0 0 0 0 0 0 0 0     2  0 0 0 0 0 0 1 1
2009 03 03     5  1 0 2 1 2 2 2 2     4  1 0 1 1 0 3 1 1     5  1 0 1 1 1 2 2 2
2009 03 04     5  2 2 2 1 1 0 2 2     6  1 1 3 3 1 1 0 1     7  2 3 2 1 1 1 2 3
2009 03 05     3  1 3 0 0 0 0 0 1     1  1 1 0 1 0 0 0 0     3  2 2 0 0 0 0 0 1
2009 03 06     0  1 0 0 0 0 0 0 1     1  0 0 0 1 0 0 0 1     2  1 0 0 0 0 1 0 1
2009 03 07     0  0 0 0 0 0 0 0 0     0  0 0 0 0 0 0 0 0     1  0 0 0 0 0 1 0 1
2009 03 08     7  1 0 3 3 3 2 1 0    23  1 0 4 6 5 3 2 0     8  2 1 3 3 3 2 1 1
2009 03 09     1  0 0 0 1 1 0 0 0     1  0 0 0 1 1 0 0 0     2  0 0 0 0 0 0 0 1
2009 03 10     3  1 0 0 0 2 2 1 0     1  0 0 0 0 0 2 1 0     3  1 0 0 0 1 2 1 1
2009 03 11     2  0 0 0 0 1 0 1 2     1  0 0 1 0 0 0 0 1     3  0 0 0 0 0 1 1 2
2009 03 12     6  2 2 1 1 1 1 2 3     3  2 2 0 0 0 0 1 1     6  3 2 0 0 0 0 1 2
2009 03 13    10  4 3 2 2 2 1 2 2    24  3 3 4 5 5 4 1 2    16  5 4 4 2 2 2 2 2
2009 03 14     7  3 1 2 1 1 2 1 3    12  1 2 4 4 1 3 2 2     9  3 2 2 2 1 2 2 3
2009 03 15     5  2 2 2 1 2 1 0 1     7  1 3 3 3 2 0 0 1     7  3 3 2 2 1 2 0 2
2009 03 16     4  2 0 1 1 1 2 2 0     4  1 0 2 3 1 1 1 0     5  2 1 1 1 1 2 2 0
2009 03 17     3  1 1 1 0 1 1 1 1     1  0 0 1 0 1 1 0 0     3  1 0 1 0 1 1 1 1
2009 03 18     0  0 0 0 0 0 0 1 0     0  0 0 0 0 0 0 0 0     1  0 0 0 0 0 0 0 1
2009 03 19     3  2 1 1 0 2 0 1 1     3  0 0 1 1 3 0 0 0     3  1 0 1 0 1 0 0 1
2009 03 20     2  1 0 0 0 1 1 1 1     2  0 0 0 1 0 2 1 1     4  2 0 0 0 0 2 1 2
2009 03 21     5  0 1 2 2 2 1 2 2    23  0 1 1 6 6 2 2 2     8  0 1 1 3 3 1 2 3
2009 03 22     4  2 2 1 1 1 0 1 1     1  0 1 0 0 0 1 0 1     4  2 3 0 0 0 0 0 2
2009 03 23     2  1 0 1 0 0 1 2 1     1  1 0 0 0 0 0 1 0     3  1 0 1 0 0 1 1 1
2009 03 24     6  0 2 3 2 2 1 1 1    18  1 2 5 5 3 3 1 1     8  0 3 2 3 3 2 1 2
2009 03 25     7  3 3 2 2 1 1 1 1     9  2 2 4 3 1 1 1 1    10  4 4 2 3 1 1 1 1
2009 03 26     6  1 2 3 1 2 1 1 1     5  1 2 3 0 2 2 1 0     7  2 3 3 0 2 1 1 1
2009 03 27     2  0 0 0 0 1 1 2 1     4  0 0 0 0 2 3 2 1     4  0 0 0 0 1 2 3 2
2009 03 28     2  1 0 0 0 1 0 1 1     2  1 0 0 1 0 0 1 1     4  1 0 0 0 1 2 2 2
2009 03 29     4  2 1 1 1 1 1 1 1     2  1 0 1 1 0 0 0 1     5  1 1 1 1 1 2 1 2
2009 03 30     3  1 2 0 1 2 1 1 0     2  1 0 0 0 1 1 1 0     4  1 1 0 0 2 1 1 1
2009 03 31     2  0 0 1 0 1 0 1 1     2  1 0 0 0 3 0 0 0     4  0 0 1 0 2 2 2 1
2009 04 01     3  1 0 0 1 1 0 2 2     2  0 0 0 2 1 0 0 1     4  1 0 0 1 1 2 2 2
2009 04 02     0  0 0 0 0 1 0 0 0     1  0 0 1 1 0 0 0 0     3  1 0 0 0 1 1 1 2
2009 04 03     2  0 0 1 0 1 1 0 1     0  0 0 0 0 0 0 0 0     2  0 0 0 0 1 1 1 1
2009 04 04     0  0 0 0 0 0 1 0 0     0  0 0 0 0 1 0 0 0     2  0 0 0 0 0 1 0 1
2009 04 05     3  1 1 1 1 1 1 1 0     2  1 1 0 2 0 0 1 0     4  1 1 1 1 1 1 1 1
2009 04 06     2  0 0 0 2 1 1 1 1     1  0 0 0 0 0 1 0 1     3  1 0 0 1 1 1 0 1
2009 04 07     2  0 0 1 1 1 0 1 1     1  0 0 1 1 0 0 0 0     2  0 0 1 1 1 0 0 1
2009 04 08     4  0 1 1 1 2 1 2 1     3  1 2 0 1 1 0 1 1     5  0 0 1 1 2 2 2 2
2009 04 09     9  2 3 3 1 2 2 2 2    12  1 3 3 4 2 3 2 1    12  3 4 3 2 1 3 2 2
2009 04 10     6  2 1 2 2 2 1 2 1     8  1 1 3 3 3 2 2 0     8  2 2 2 2 1 1 3 2
2009 04 11     7  3 1 2 1 2 2 1 2    16  2 2 2 5 4 4 1 1     9  3 2 2 2 2 2 1 3
2009 04 12     4  2 2 2 0 0 1 1 2     3  1 2 2 1 1 0 0 1     8  2 2 2 1 1 2 2 3
2009 04 13     3  2 2 2 0 1 0 0 0     3  1 2 2 0 0 0 0 0     4  2 2 2 0 0 0 0 1
2009 04 14     1  1 0 0 1 0 0 0 0     2  0 0 0 2 2 0 0 0     2  1 0 0 1 1 0 0 1
2009 04 15     2  2 0 0 0 1 1 1 1     2  1 1 0 2 0 0 0 0     3  2 1 0 0 1 1 1 1
2009 04 16     3  1 1 1 0 1 2 1 1     7  1 1 3 2 3 2 0 1     6  1 2 2 1 1 2 1 3
2009 04 17     4  2 1 1 0 2 1 0 2     4  1 0 0 3 3 1 0 1     5  2 0 0 1 2 1 1 2
2009 04 18     8  2 3 3 1 2 1 1 2    13  2 3 4 3 2 3 2 2     8  2 3 3 1 2 2 1 2
2009 04 19     4  2 2 1 0 1 0 1 2     3  2 1 1 0 2 0 1 1     4  2 2 1 0 1 0 1 2
2009 04 20     3  2 2 1 0 1 1 0 1     3  1 2 2 1 0 0 0 1     4  2 2 1 0 1 2 0 1
2009 04 21     3  1 1 2 1 1 0 1 1     3  1 1 2 2 0 0 0 0     5  1 1 2 1 1 1 1 1
2009 04 22     2  2 1 0 1 1 0 0 1     5  1 1 0 3 3 0 0 0     4  2 1 0 1 1 1 0 2
