:Product: Daily Geomagnetic Data     2010_DGD.txt
:Issued: 1900 UT 07 Jan 2011
#
#  Prepared by the U.S. Dept. of Commerce, NOAA, Space Weather Prediction Center
#  Please send comment and suggestions to SWPC.Webmaster@noaa.gov
#
#                   2010 Daily Geomagnetic Data
#

                 Middle Latitude        High Latitude            Estimated
               - Fredericksburg -     ---- College ----      --- Planetary ---
   Date        A     K-indices        A     K-indices        A     K-indices
2010 01 01     2  0 0 0 0 0 1 1 2     0  0 0 0 0 0 0 0 0     1  1 0 0 0 0 0 3 1
2010 01 02     1  0 0 0 0 0 2 1 0     0  0 0 0 0 0 0 0 0     0  0 0 0 0 0 0 0 1
2010 01 03     3  0 1 1 2 2 1 0 0     4  0 0 0 3 3 1 0 0     3  0 1 1 2 2 0 0 0
2010 01 04     1  0 0 1 1 0 0 1 0     1  0 0 2 2 0 0 0 0     2  0 0 2 1 0 0 0 0
2010 01 05     1  0 0 0 0 1 1 1 0     0  0 0 0 0 0 0 0 0     1  0 0 0 0 0 1 0 0
2010 01 06     0  1 0 0 0 0 0 0 0     0  0 0 0 0 0 0 0 0     1  0 1 0 0 0 0 0 0
2010 01 07     0  0 0 0 0 0 0 0 0     0  0 0 0 0 0 0 0 0     1  0 0 0 0 0 0 0 1
2010 01 08     0  0 0 0 0 0 1 0 0     1  0 0 2 0 0 0 0 0     2  0 0 1 0 0 1 0 0
2010 01 09     1  0 0 0 0 1 1 0 0     1  0 0 0 1 1 0 0 0     1  0 0 0 0 1 1 0 1
2010 01 10     2  0 0 0 1 1 1 1 0     3  0 0 0 2 3 1 0 0     2  0 0 0 1 1 1 0 1
2010 01 11     4  0 2 2 1 2 2 1 0     7  0 0 2 4 3 1 1 0     6  0 2 2 2 2 2 1 1
2010 01 12     2  0 2 0 0 0 0 2 1     0  0 0 0 0 0 0 0 0     3  1 2 0 0 0 0 1 2
2010 01 13     4  2 2 1 0 1 1 1 2     5  1 2 1 1 2 3 0 0     6  3 2 1 1 1 2 0 2
2010 01 14     3  2 2 0 1 1 1 1 0     2  1 0 0 2 2 0 0 0     4  2 1 0 1 1 1 1 1
2010 01 15     2  0 1 1 0 0 1 2 1     1  0 0 1 0 0 0 0 1     3  1 0 1 0 0 1 2 2
2010 01 16     1  0 0 0 0 0 2 0 0     0  0 0 0 1 0 0 0 0     1  0 0 0 0 0 0 0 0
2010 01 17     1  0 1 0 0 1 1 0 0     0  0 0 0 0 0 0 0 0     1  0 1 0 0 0 0 0 1
2010 01 18     2  0 1 0 0 1 1 0 1     1  0 0 0 0 0 1 0 0     3  0 1 1 0 1 1 1 1
2010 01 19     2  1 0 0 0 0 2 1 0     0  0 0 0 1 0 0 0 0     1  1 0 0 0 0 0 0 1
2010 01 20     6  1 0 2 1 2 3 2 2    14  0 0 1 0 4 5 4 2    14  1 0 1 0 2 5 4 4
2010 01 21     4  2 2 2 1 1 1 0 0     9  2 2 3 4 3 1 0 0     4  1 3 2 1 1 0 0 0
2010 01 22     2  1 1 0 1 1 1 0 1     1  0 0 0 2 0 0 0 0     2  1 1 0 0 0 0 0 1
2010 01 23     4  2 1 1 2 1 0 1 1     7  1 0 2 4 3 1 0 0     4  2 1 2 2 1 0 0 1
2010 01 24     2  0 1 1 2 1 0 0 0    10  0 1 3 4 4 2 1 0     4  1 1 2 2 1 0 0 1
2010 01 25     3  0 1 2 0 2 2 0 0     2  0 0 2 1 2 0 0 0     3  0 0 1 0 2 0 0 2
