:Product: Daily Geomagnetic Data     2012_DGD.txt
:Issued: 1900 UTC 02 Jan 2013
#
#  Prepared by the U.S. Dept. of Commerce, NOAA, Space Weather Prediction Center
#  Please send comment and suggestions to SWPC.Webmaster@noaa.gov
#
#             2012 Daily Geomagnetic Data
#
#
#                Middle Latitude        High Latitude            Estimated
#              - Fredericksburg -     ---- College ----      --- Planetary ---
#  Date        A     K-indices        A     K-indices        A     K-indices
2012 01 01     4  1 1 1 1 2 2 1 1     3  1 0 0 1 3 0 0 0     4  1 1 1 0 2 1 2 0
2012 01 02     4  0 0 1 1 2 2 2 2     2  0 0 1 0 1 0 1 1     5  1 0 1 0 1 1 2 2
2012 01 03     9  3 3 2 1 2 3 1 1    12  2 4 3 4 0 3 1 0     7  3 3 2 2 0 1 1 1
2012 01 04     3  1 1 0 0 2 2 1 1     0  0 0 0 0 1 0 0 0     3  1 0 0 0 1 1 1 1
2012 01 05     6  1 1 1 1 3 2 2 1     9  0 0 1 3 5 1 1 0     5  1 1 1 0 3 2 2 1
2012 01 06     6  1 1 1 2 2 2 2 2     3  0 0 0 3 1 1 1 1     5  1 1 0 1 1 2 2 2
2012 01 07     5  2 1 1 1 2 1 2 2     7  2 1 2 3 2 3 0 1     5  2 1 1 1 1 1 1 2
2012 01 08     5  1 2 2 1 2 2 1 1     3  1 1 2 0 1 1 1 0     4  1 2 1 0 1 1 2 1
2012 01 09     7  2 2 2 1 2 2 2 2     7  1 2 2 2 2 3 2 0     6  2 2 2 2 1 2 2 2
2012 01 10     5  1 1 1 2 2 2 1 1     4  0 0 1 2 2 2 1 1     4  0 1 0 2 2 1 1 1
2012 01 11     5  1 2 1 1 1 2 2 1     2  0 1 0 2 0 1 1 1     5  1 2 1 1 1 1 2 1
2012 01 12     5  2 1 0 2 2 2 2 1     3  1 1 0 2 2 0 2 0     5  2 1 0 2 1 1 2 2
2012 01 13     8  2 3 3 1 2 2 1 1     4  1 2 2 3 1 0 0 0     6  2 3 3 1 1 1 1 1
2012 01 14     3  1 1 0 1 2 2 1 0     2  0 0 2 2 0 0 0 0     3  1 1 1 0 1 1 0 1
2012 01 15     4  0 1 0 0 2 2 2 2     1  0 0 0 0 0 1 1 1     3  0 1 0 0 1 1 2 2
2012 01 16     8  1 1 1 2 3 2 3 2    15  2 1 0 4 5 4 2 1     8  2 1 1 2 3 2 3 2
2012 01 17     4  2 1 1 1 1 1 1 1     4  2 1 1 2 2 1 0 0     6  3 1 1 1 1 1 2 1
2012 01 18     4  1 1 0 2 2 1 2 1     2  0 0 0 2 1 1 0 0     4  2 1 0 1 1 1 1 1
2012 01 19     1  0 1 0 0 1 1 0 0     1  0 0 0 1 0 1 0 0     3  0 1 0 1 0 1 1 1
2012 01 20     3  2 2 1 1 0 1 0 0     3  0 1 2 1 2 1 1 0     4  1 1 1 0 0 1 1 0
2012 01 21     6  2 2 1 1 2 2 2 2    12  0 1 3 5 4 0 1 1     6  2 2 1 2 2 1 2 2
2012 01 22    22  1 1 4 4 4 3 5 4    38  0 1 4 5 6 5 5 5    21  1 1 4 3 4 3 5 4
2012 01 23     7  4 3 2 1 1 1 0 0    12  5 3 3 2 1 1 0 1     9  4 3 2 1 1 1 1 1
2012 01 24    13  3 2 1 1 2 4 4 3    29  4 3 3 4 2 6 5 3    17  3 2 1 1 1 4 5 3
2012 01 25    17  3 4 3 5 3 2 1 2    38  4 3 5 7 4 4 3 2    14  3 4 3 4 3 2 2 2
2012 01 26     5  2 1 1 2 2 2 1 1    13  2 1 3 4 2 4 2 2     6  2 1 2 2 1 2 2 1
2012 01 27     6  1 1 3 2 2 1 2 0    16  1 1 5 3 4 3 2 2     7  1 2 3 2 2 1 2 0
2012 01 28     6  2 2 1 1 2 2 1 2     4  1 1 1 1 2 0 1 2     5  2 2 1 0 1 1 2 2
2012 01 29     5  2 2 1 1 1 2 2 0     6  3 2 2 2 1 1 1 0     5  2 2 1 1 0 0 2 1
2012 01 30     5  0 0 1 0 1 3 2 3     5  0 0 0 0 0 2 3 3     6  0 0 1 0 0 3 3 3
2012 01 31     2  2 1 0 0 1 0 1 0     2  2 1 1 1 1 0 0 0     3  2 1 0 0 0 0 0 1
2012 02 01     5  1 2 2 1 2 1 1 1    14  0 1 3 5 5 0 0 0     5  2 2 2 2 2 0 1 1
2012 02 02     3  1 2 1 1 1 0 1 1     5  0 0 1 4 1 0 1 0     4  1 1 1 1 1 0 1 1
2012 02 03     4  2 1 2 1 2 1 1 0    10  1 1 2 4 4 2 1 0     5  2 2 1 2 2 1 1 0
2012 02 04     7  2 2 2 2 2 2 2 2    21  1 2 4 5 5 4 1 2     7  2 2 2 2 2 2 2 2
2012 02 05     6  2 1 1 1 2 2 2 2    11  2 2 1 3 4 3 2 1     7  3 1 1 1 2 2 2 2
2012 02 06     5  2 2 1 1 2 2 1 0     2  0 1 1-1-1-1-1-1     5  1 2 1 0 1 2 2 1
2012 02 07    10  1 2 2 3 3 2 3 2    20  1 2 2 5 5 4 2 3    12  1 2 1 3 3 2 4 3
2012 02 08     9  3 2 3 2 2 2 2 1    12  2 2 3 4 4 1 1 1     9  3 2 3 2 2 2 2 1
2012 02 09     4  1 1 0 1 2 2 2 1     8  0 0 0 4 3 2 3 0     5  1 1 0 1 2 2 2 1
2012 02 10     4  1 1 2 1 1 1 2 1     2  0 0 1 1 2 0 1 1     4  1 1 1 0 1 1 2 1
2012 02 11     3  3 1 1 0 1 0 1 0     2  1 1 2 1 1 0 0 0     4  2 1 1 0 0 1 1 1
2012 02 12     3  1 1 0 1 2 1 1 0     2  0 1 0 0 1 1 1 0     4  1 2 0 0 1 1 1 1
2012 02 13     7  1 1 3 2 2 2 2 1    19  0 1 3 4 5 5 2 0     9  1 1 3 2 3 3 2 2
2012 02 14     8  2 2 2 1 2 2 2 3    12  2 1 3 3 3 4 2 2     9  2 2 2 1 2 2 2 4
2012 02 15    18  2 5 4 3 3 2 2 3    46  2 5 6 6 5 5 4 4    21  2 5 4 3 3 2 3 4
2012 02 16     4  2 0 1 1 2 1 1 1     5  2 1 1 3 3 0 0 0     4  2 0 1 1 2 1 1 0
2012 02 17     2  0 1 2 1 1 1 0 0     1  0 0 1 2 0 0 0 0     2  0 1 2 1 0 0 0 0
2012 02 18     3  0 0 0 0 2 1 2 2     1  0 0 0 1 0 0 1 1     4  0 0 0 1 0 1 1 3
2012 02 19    11  3 4 3 1 2 1 2 2    23  3 5 5 4 4 2 2 2    15  4 5 3 2 1 2 2 2
2012 02 20    14  3 4 3 3 3 2 2 2    28  3 2 5 6 4 4 3 2    17  3 4 4 3 3 3 3 3
2012 02 21     4  2 2 1 1 1 1 1 1     7  3 2 1 3 2 1 1 1     6  3 2 2 2 1 1 1 2
2012 02 22     9  3 3 3 3 2 1 1 0    11  2 1 3 4 4 1 1 1     8  3 3 2 2 2 1 1 0
2012 02 23     3  0 0 1 1 2 1 1 2     3  0 0 2 3 0 0 0 1     4  0 0 1 1 1 1 1 2
2012 02 24     6  2 3 1 1 1 2 2 0     5  1 1 0 2 3 2 1 0     5  2 3 1 1 1 2 1 0
2012 02 25     3  0 0 1 1 2 1 2 1    24  0 0 4 6 6 1 0 1     6  0 0 2 2 3 1 2 2
2012 02 26     7  1 3 2 1 2 1 1 3     9  2 1 2 4 3 0 1 2     6  2 2 2 2 1 1 1 3
2012 02 27    12  4 3 1 2 3 2 3 2    27  2 1 1 3 6 5 5 3    16  4 3 2 2 3 3 5 2
2012 02 28    11  1 2 5 2 2 2 1 2    10  1 1 5 2 1 2 1 1    10  1 1 4 2 1 2 1 2
2012 02 29     6  3 3 2 0 1 1 1 1     2  1 1 1 0 0 0 1 0     5  2 2 2 0 0 1 1 1
2012 03 01    12  0 3 3 3 3 2 3 3    26  0 3 3 6 5 4 3 2    15  1 3 3 3 3 2 4 4
2012 03 02    10  3 3 3 1 3 2 2 1    17  3 2 4 3 5 3 2 1    10  3 3 3 1 3 2 2 2
2012 03 03     8  2 3 2 2 2 2 1 2    21  2 3 5 5 3 4 1 1     8  2 3 3 2 1 2 1 2
2012 03 04    10  4 2 3 2 2 2 2 1    25  3 4 3 6 4 3 3 2    11  4 3 3 2 2 2 3 2
2012 03 05    11  3 3 3 2 3 2 2 2    19  1 2 4 5 4 4 2 2     8  2 2 2 2 1 2 2 3
2012 03 06    10  2 2 3 1 3 3 2 2    14  3 2 3 2 5 2 1 2     8  2 2 3 1 2 2 2 2
2012 03 07    33  3 4 5 5 5 5 3 3    73  3 4 7 6 7 7 4 3    44  3 4 6 5 6 5 4 3
2012 03 08    21  2 1 2 4 5 5 3 3    33  2 2 2 4 6 6 4 4    23  2 1 1 5 5 5 4 4
2012 03 09    57  4 5 7 6 6 5 4 2   107  5 6 8 8 6 7 3 3    67  5 6 7 7 6 5 4 2
2012 03 10    17  5 4 2 2 3 3 3 1    36  3 5 6 6 4 4 2 1    18  4 5 3 2 2 3 3 2
2012 03 11    10  2 2 1 2 2 3 3 3    12  2 1 2 4 4 2 2 2     9  2 2 1 2 2 3 2 3
2012 03 12    28  1 2 2 6 6 3 3 3    55  3 1 2 7 8 3 3 2    28  2 1 2 6 6 4 4 3
2012 03 13    10  3 3 3 2 2 2 2 1    15  3 3 3 4 4 2 2 1    10  3 3 2 2 2 2 3 2
2012 03 14     6  2 2 1 1 2 3 1 1    16  3 2 2 4 4 4 2 2     7  3 2 1 1 2 2 2 2
2012 03 15    24  3 3 2 3 5 4 3 5    58  3 2 3 5 7 7 6 3    30  3 2 2 2 5 6 5 4
2012 03 16    17  4 3 3 3 3 3 3 3    53  3 3 6 7 5 6 4 3    20  4 3 3 3 3 4 3 3
2012 03 17    15  3 3 3 2 2 3 3 4    31  3 4 6 5 4 4 2 3    19  4 3 4 3 2 3 4 4
2012 03 18    11  3 3 2 3 2 1 2 3    18  3 4 4 5 2 2 1 2    11  4 3 2 3 2 1 2 2
2012 03 19     8  2 3 2 1 2 2 2 2    13  2 3 3 4 4 1 1 1     9  2 4 2 2 2 1 2 2
2012 03 20     4  1 1 1 1 2 1 1 1     4  2 1 2 2 1 0 1 1     5  2 1 1 1 1 1 1 2
