date,ssn,ssn_std,f107,sunspot_area,new_regions,solar_mean_field,flare_C,flare_M,flare_X,flare_S,flare_xray_total,flare_optical_total,ap_planetary,kp_daily_mean,kp_daily_max,kp_1,kp_2,kp_3,kp_4,kp_5,kp_6,kp_7,kp_8,dst_daily_mean,dst_daily_min,dst_daily_max,dst_daily_std,dst_hours_valid,flare_event_B,flare_event_C,flare_event_M,flare_event_X,flare_event_unknown,flare_events_total,ssn_interpolated,ssn_std_interpolated,dst_daily_mean_interpolated,dst_daily_min_interpolated,dst_daily_max_interpolated,dst_daily_std_interpolated,ap_planetary_interpolated,kp_daily_mean_interpolated,kp_daily_max_interpolated,kp_1_interpolated,kp_2_interpolated,kp_3_interpolated,kp_4_interpolated,kp_5_interpolated,kp_6_interpolated,kp_7_interpolated,kp_8_interpolated,solar_mean_field_interpolated,flare_event_B_interpolated,flare_event_C_interpolated,flare_event_M_interpolated,flare_event_X_interpolated,flare_event_unknown_interpolated,flare_events_total_interpolated,year,month,day_of_year,storm_category,solar_activity_level,kp_storm_level
2008-01-01,9.00,1.80,79.00,30,0,,1,0,0,1,1,0,3.00,0.62,1.00,1.00,1.00,0.00,0.00,1.00,1.00,0.00,1.00,-6.12,-12.00,-3.00,2.26,24.00,8.00,1.00,0.00,0.00,0.00,9.00,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2008,1,1,quiet,low,quiet
2008-01-02,9.00,0.60,80.00,30,0,,1,0,0,0,1,0,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.71,-7.00,7.00,2.95,24.00,0.00,1.00,0.00,0.00,0.00,1.00,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2008,1,2,quiet,low,quiet
2008-01-03,9.00,0.50,79.00,20,0,,0,0,0,0,0,0,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.04,-7.00,4.00,3.49,24.00,0.00,1.00,0.00,0.00,0.00,1.00,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,2008,1,3,quiet,low,quiet
2008-01-04,12.00,3.40,79.00,30,1,,0,0,0,0,0,0,2.00,0.38,2.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,2.00,10.17,4.00,37.00,7.27,24.00,1.00,0.00,0.00,0.00,0.00,1.00,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2008,1,4,quiet,low,quiet
2008-01-05,10.00,1.60,80.00,20,0,,0,0,0,0,0,0,18.00,3.38,4.00,2.00,2.00,4.00,4.00,4.00,4.00,3.00,4.00,-3.00,-25.00,31.00,15.76,24.00,1.00,0.00,0.00,0.00,0.00,1.00,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,2008,1,5,quiet,low,quiet
2008-01-06,14.00,7.60,79.00,20,0,,0,0,0,0,0,0,13.00,2.75,4.00,2.00,4.00,2.00,2.00,3.00,3.00,3.00,3.00,-18.46,-29.00,-5.00,5.62,24.00,1.00,0.00,0.00,0.00,0.00,1.00,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,2008,1,6,quiet,low,quiet
2008-01-07,14.00,5.80,78.00,20,0,,1,0,0,1,1,0,12.00,2.38,4.00,4.00,4.00,2.00,3.00,3.00,0.00,1.00,2.00,-21.88,-30.00,-16.00,3.72,24.00,1.00,1.00,0.00,0.00,0.00,2.00,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2008,1,7,quiet,low,quiet
2008-01-08,11.00,4.60,76.00,20,0,,0,0,0,0,0,0,13.00,2.50,4.00,2.00,3.00,2.00,2.00,1.00,4.00,4.00,2.00,-19.92,-26.00,-13.00,4.43,24.00,1.00,1.00,0.00,0.00,0.00,2.00,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,2008,1,8,quiet,low,quiet
2008-01-09,0.00,2.00,77.00,0,0,,0,0,0,0,0,0,6.00,1.38,3.00,3.00,2.00,2.00,1.00,1.00,0.00,1.00,1.00,-20.08,-24.00,-15.00,2.27,24.00,1.00,1.00,0.00,0.00,0.00,2.00,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,2008,1,9,quiet,low,quiet
2008-01-10,10.00,5.10,76.00,0,0,,0,0,0,0,0,0,3.00,0.75,2.00,2.00,0.00,0.00,1.00,1.00,1.00,0.00,1.00,-12.12,-17.00,-7.00,2.89,24.00,1.00,1.00,0.00,0.00,0.00,2.00,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,2008,1,10,quiet,low,quiet
